"hydroid"	"bundle"	"ftype"	"hydrocode"	"name"	"fstatus"	"address1"	"address2"	"city"	"state"	"postal_code"	"description"	"uid"	"status"	"module"	"feed_nid"	"dh_link_facility_mps"	"dh_nextdown_id"	"dh_areasqkm"	"dh_link_admin_location"	"field_dh_from_entity"	"field_dh_to_entity"	"dh_geofield"	"geom"
"441037"	"facility"	"unknown"	"echo_DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	"active"	"1400 NORTH ROYAL STREET"	""	"ALEXANDRIA"	""	""	""	"6115"	"1"	""	""	""	""	""	"439577"	""	""	"POINT (-77.04167 38.81953)"	"POINT (-77.04167 38.81953)"
"441038"	"facility"	"unknown"	"echo_DCNOE3034"	"WFS-DCA"	"inactive"	"2901 THOMAS AVE."	""	"ALEXANDRIA"	""	""	""	"6115"	"1"	""	""	""	""	""	"439578"	""	""	"POINT (-77.06965 38.82436)"	"POINT (-77.06965 38.82436)"
"441039"	"facility"	"unknown"	"echo_ILG870595"	"SUMMIT HELICOPTORS"	"inactive"	"PO BOX 39"	""	"CLOVERDALE"	""	""	""	"6115"	"1"	""	""	""	""	""	"439579"	""	""	"POINT (-79.899728 37.36209)"	"POINT (-79.899728 37.36209)"
"441040"	"facility"	"unknown"	"echo_ILR007054"	"UPS GROUND FREIGHT CO INC"	"inactive"	"1000 SEMMES AVE"	""	"RICHMOND"	""	""	""	"6115"	"1"	""	""	""	""	""	"439580"	""	""	"POINT (-77.44713 37.52595)"	"POINT (-77.44713 37.52595)"
"441041"	"facility"	"wwtp"	"echo_MD0056464"	"FAIRVIEW BEACH WWTP"	"inactive"	"6268 RIVERVIEW DRIVE"	""	"FAIRVIEW BEACH"	""	""	""	"6115"	"1"	""	""	""	""	""	"439581"	""	""	"POINT (-77.235664 38.329326)"	"POINT (-77.235664 38.329326)"
"441042"	"facility"	"unknown"	"echo_MD0064556"	"DUMFRIES TERMINAL"	"inactive"	"18000 COCKPIT POINT ROAD"	""	"DUMFRIES"	""	""	""	"6115"	"1"	""	""	""	""	""	"439582"	""	""	"POINT (-77.264998 38.559561)"	"POINT (-77.264998 38.559561)"
"441043"	"facility"	"unknown"	"echo_MD0066184"	"LEESBURG WATER POLL.CONT.FAC."	"inactive"	"1391 EAST MARKET ST. S.E."	""	"LEESBURG"	""	""	""	"6115"	"1"	""	""	""	""	""	"439583"	""	""	"POINT (-77.52865 39.09505)"	"POINT (-77.52865 39.09505)"
"441044"	"facility"	"fossilpower"	"echo_MD0066427"	"VIRGINIA ELECTRIC AND POWER CO.- POSSUM POINT POWER STA"	"inactive"	"19000 POSSUM POINT ROAD"	""	"DUMFRIES"	""	""	""	"6115"	"1"	""	""	""	""	""	"439584"	""	""	"POINT (-77.2786 38.5391)"	"POINT (-77.2786 38.5391)"
"441045"	"facility"	"wwtp"	"echo_MD0067598"	"ELYSIAN HEIGHTS WWTP"	"inactive"	"658 ST. CLAIRE ROAD"	""	"LEESBURG"	""	""	""	"6115"	"1"	""	""	""	""	""	"439585"	""	""	"POINT (-77.563617 39.115151)"	"POINT (-77.563617 39.115151)"
"441046"	"facility"	"unknown"	"echo_MD0068187"	"KENNETH B. ROLLINS MEMORIAL WA"	"inactive"	"43234 EDWARDS FERRY ROAD"	""	"LEESBURG"	""	""	""	"6115"	"1"	""	""	""	""	""	"439586"	""	""	"POINT (-77.50575 39.11092)"	"POINT (-77.50575 39.11092)"
