"adminid"	"bundle"	"ftype"	"admincode"	"name"	"fstatus"	"description"	"startdate"	"enddate"	"modified"	"permit_id"	"uid"	"status"	"module"	"feed_nid"	"dh_link_admin_reg_holder"	"dh_link_admin_dha_usafips"	"dh_link_admin_record_mgr_id"	"dh_link_admin_timeseries"	"dh_link_admin_reg_issuer"
"439577"	"permit"	"npdes_ip"	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"956203200"	"1113883200"	"1544215358"	"DC0022004"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439578"	"permit"	"npdes_gp"	"DCNOE3034"	"WFS-DCA"	"unknown"	"General Permit Covered Facility"	""	""	"1544216048"	"DCNOE3034"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439579"	"permit"	"npdes_gp"	"ILG870595"	"SUMMIT HELICOPTORS"	"active"	"General Permit Covered Facility"	"1477972800"	"1635652800"	"1544216048"	"ILG870595"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439580"	"permit"	"npdes_gp"	"ILR007054"	"UPS GROUND FREIGHT CO INC"	"expired"	"General Permit Covered Facility"	"1346472000"	"1398830400"	"1544216048"	"ILR007054"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439581"	"permit"	"npdes_ip"	"MD0056464"	"FAIRVIEW BEACH WWTP"	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1025496000"	"1183176000"	"1544216048"	"MD0056464"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439582"	"permit"	"npdes_ip"	"MD0064556"	"DUMFRIES TERMINAL"	"expired"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1372651200"	"1530331200"	"1544216048"	"MD0064556"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439583"	"permit"	"npdes_ip"	"MD0066184"	"LEESBURG WATER POLL.CONT.FAC."	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1083384000"	"1241064000"	"1544216049"	"MD0066184"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439584"	"permit"	"npdes_ip"	"MD0066427"	"VIRGINIA ELECTRIC AND POWER CO.- POSSUM POINT POWER STA"	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1086062400"	"1243742400"	"1544216049"	"MD0066427"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439585"	"permit"	"npdes_ip"	"MD0067598"	"ELYSIAN HEIGHTS WWTP"	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1070254800"	"1228021200"	"1544216049"	"MD0067598"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439586"	"permit"	"npdes_ip"	"MD0068187"	"KENNETH B. ROLLINS MEMORIAL WA"	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"951886800"	"1109566800"	"1544216049"	"MD0068187"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439587"	"permit"	"npdes_gp"	"NCG210111"	"BLUE RIDGE FIBERBOARD, INC."	"active"	"General Permit Covered Facility"	"1533096000"	"1690776000"	"1544216049"	"NCG210111"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439588"	"permit"	"npdes_ip"	"VA0000213"	"VCI RADFORD FOUNDRY"	"revoked"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1301803200"	"1459396800"	"1544216049"	"VA0000213"	"6115"	"1"	""	""	""	""	""	""	"416194"
"439589"	"permit"	"npdes_ip"	"VA0000248"	"US ARMY - RADFORD ARMY AMMUNITION PLANT"	"active"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"1433908800"	"1591675200"	"1544216050"	"VA0000248"	"6115"	"1"	""	""	""	""	""	""	"416194"
