"DEQ.ID.of.Source"	"FacilityName"	"FacilityID"	"Latitude"	"Longitude"	"flag"
59043	"SMALL SYSTEMS"	73830	NA	NA	"vwuds_flag_coord"
59044	"Rappahannock Community College-Glenns Campus"	72534	NA	NA	"vwuds_flag_coord"
59054	"RAMSEY L. TAYLOR"	73696	0.1	0.1	"vwuds_flag_coord"
59055	"SYDNOR - small well systems"	71570	0.1	0.1	"vwuds_flag_coord"
59065	"SMALL SYSTEMS"	73830	NA	NA	"vwuds_flag_coord"
59068	"SYDNOR - small well systems"	71570	0.1	0.1	"vwuds_flag_coord"
59070	"Midwood Farm"	66917	0.1	0.1	"vwuds_flag_coord"
59090	"FRANK ELKO"	72170	0.1	0.1	"vwuds_flag_coord"
59107	"GARY AND RHONDA GUTHRIE"	73078	0.1	0.1	"vwuds_flag_coord"
59108	"Grange Hall School"	74062	NA	NA	"vwuds_flag_coord"
59113	"Queenfield Golf Club"	72921	NA	NA	"vwuds_flag_coord"
59114	"Queenfield Golf Club"	72921	NA	NA	"vwuds_flag_coord"
59135	"YAROS FARMS INC"	72380	NA	NA	"vwuds_flag_coord"
59137	"Spring Creek Golf Club"	73024	NA	NA	"vwuds_flag_coord"
59155	"ATWOOD FARMS"	72228	NA	NA	"vwuds_flag_coord"
59156	"INDEPENDENT SYSTEMS"	72346	NA	NA	"vwuds_flag_coord"
59171	"SMALL SYSTEMS"	73830	NA	NA	"vwuds_flag_coord"
59173	"BASS FARMS"	73901	0.1	0.1	"vwuds_flag_coord"
59178	"BRIDGEWATER WTP"	73482	NA	NA	"vwuds_flag_coord"
59183	"Guilford Heights Subdivision"	71690	NA	NA	"vwuds_flag_coord"
59192	"MANAKIN FARMS SERVICE AREA"	73824	0.1	0.1	"vwuds_flag_coord"
59205	"Bath County Regional Water System"	74108	NA	NA	"vwuds_flag_coord"
59210	"LAKE WILDERNESS SERVICE AREA"	72573	0.1	0.1	"vwuds_flag_coord"
59219	"Lemon Farm"	73939	NA	NA	"vwuds_flag_coord"
59222	"SYDNOR - small well systems"	71570	NA	NA	"vwuds_flag_coord"
59223	"TIMBER RIDGE FRUIT FARM"	73072	0.1	0.1	"vwuds_flag_coord"
59224	"SYDNOR - BRAXTON'S LANDING"	72034	0.1	0.1	"vwuds_flag_coord"
59230	"LAKE LAND 'OR SERVICE AREA"	73768	NA	NA	"vwuds_flag_coord"
59231	"LAKE LAND 'OR SERVICE AREA"	73768	NA	NA	"vwuds_flag_coord"
59235	"WOODBRIDGE MOBILE HOME PARK"	74225	NA	NA	"vwuds_flag_coord"
59242	"TIMBER RIDGE FRUIT FARM"	73072	0.1	0.1	"vwuds_flag_coord"
59243	"SYDNOR - FOUNDER'S BRIDGE"	72492	NA	NA	"vwuds_flag_coord"
59273	"RAY NEWMAN"	74017	0.1	0.1	"vwuds_flag_coord"
59297	"GORDON BROTHERS ENTERPRISES"	72999	0.1	0.1	"vwuds_flag_coord"
59300	"Farms"	73232	NA	NA	"vwuds_flag_coord"
59338	"MANAKIN FARMS SERVICE AREA"	73824	0.1	0.1	"vwuds_flag_coord"
59350	"Mayhew Farm"	73320	NA	NA	"vwuds_flag_coord"
59359	"KENNETH G REYNOLDS"	72163	0.1	0.1	"vwuds_flag_coord"
59370	"Henry Fitzgerald Farm"	73215	NA	NA	"vwuds_flag_coord"
59379	"RIVERSIDE FARM"	74077	0.1	0.1	"vwuds_flag_coord"
59385	"GLENVAR EAST SERVICE AREA"	73846	NA	NA	"vwuds_flag_coord"
59387	"J EDGAR ADAMS"	72948	0.1	0.1	"vwuds_flag_coord"
59405	"Henry Fitzgerald Farm"	73215	NA	NA	"vwuds_flag_coord"
59408	"WAYNE T HEATH FARMS INC"	73562	0.1	0.1	"vwuds_flag_coord"
59410	"SYDNOR - CAMP PIANKATANK"	72032	0.1	0.1	"vwuds_flag_coord"
59421	"YAROS FARMS INC"	72380	NA	NA	"vwuds_flag_coord"
59435	"WOODWAY SERVICE AREA"	71647	NA	NA	"vwuds_flag_coord"
59449	"SYDNOR - small well systems"	71570	0.1	0.1	"vwuds_flag_coord"
59473	"SYDNOR - small well systems"	71570	0.1	0.1	"vwuds_flag_coord"
59477	"SYDNOR - small well systems"	71570	0.1	0.1	"vwuds_flag_coord"
59492	"SYDNOR - small well systems"	71570	0.1	0.1	"vwuds_flag_coord"
59500	"SYDNOR - small well systems"	71570	0.1	0.1	"vwuds_flag_coord"
59501	"SYDNOR - small well systems"	71570	0.1	0.1	"vwuds_flag_coord"
59502	"SYDNOR - small well systems"	71570	0.1	0.1	"vwuds_flag_coord"
59503	"SYDNOR - small well systems"	71570	0.1	0.1	"vwuds_flag_coord"
59505	"SYDNOR - FOUNDER'S BRIDGE"	72492	NA	NA	"vwuds_flag_coord"
59510	"LAKE WILDERNESS SERVICE AREA"	72573	0.1	0.1	"vwuds_flag_coord"
59534	"LAKE WILDERNESS SERVICE AREA"	72573	0.1	0.1	"vwuds_flag_coord"
59540	"BLUE RIDGE HGHTS SERVICE AREA"	72588	NA	NA	"vwuds_flag_coord"
59590	"CONCORD CONCENTRATOR SITE"	71999	36.5242	-77.344	"vwuds_flag_coord"
59591	"CONCORD CONCENTRATOR SITE"	71999	36.522	-77.3447	"vwuds_flag_coord"
59592	"CONCORD CONCENTRATOR SITE"	71999	36.5252	-77.3445	"vwuds_flag_coord"
59593	"CONCORD CONCENTRATOR SITE"	71999	36.5248	-77.3441	"vwuds_flag_coord"
59594	"CONCORD CONCENTRATOR SITE"	71999	36.5235	-77.3443	"vwuds_flag_coord"
59596	"CONCORD CONCENTRATOR SITE"	71999	36.5346	-77.3448	"vwuds_flag_coord"
59601	"Wells Farm"	73012	NA	NA	"vwuds_flag_coord"
59619	"RAY NEWMAN"	74017	0.1	0.1	"vwuds_flag_coord"
59624	"BYRDLANKFORD FARM"	71872	0.1	0.1	"vwuds_flag_coord"
59676	"SPRING HILL FARM"	74366	0.1	0.1	"vwuds_flag_coord"
59683	"EMERSON BROTHERS"	72756	0.1	0.1	"vwuds_flag_coord"
59708	"SILAS R CARTER"	73177	0.1	0.1	"vwuds_flag_coord"
59713	"Grange Hall School"	74062	NA	NA	"vwuds_flag_coord"
59718	"JOHN AMOS"	72040	0.1	0.1	"vwuds_flag_coord"
59738	"HOOT OWL HOLLOW FARMS"	71930	0.1	0.1	"vwuds_flag_coord"
59741	"WILLIAMSON LANDSCAPE INC"	72058	0.1	0.1	"vwuds_flag_coord"
59754	"CARROLL COUNTY REGIONAL"	71668	NA	NA	"vwuds_flag_coord"
59772	"THOMAS L KEATTS"	73899	0.1	0.1	"vwuds_flag_coord"
59787	"MERRYVALE FARMS"	74302	0.1	0.1	"vwuds_flag_coord"
59800	"NVCCL Campus Project"	72314	NA	NA	"vwuds_flag_coord"
59809	"BASS FARMS"	73901	NA	NA	"vwuds_flag_coord"
59836	"LAKE LAND 'OR SERVICE AREA"	73768	NA	NA	"vwuds_flag_coord"
59838	"The Country Club of Culpeper Golf Course"	71697	NA	NA	"vwuds_flag_coord"
59839	"INGLESIDE PLANTATION NURSERIES"	72612	0.1	0.1	"vwuds_flag_coord"
59840	"AQUA VIRGINIA INC"	73366	NA	NA	"vwuds_flag_coord"
59843	"Peumansend Creek Regional Jail Water System"	67399	0.1	0.1	"vwuds_flag_coord"
59856	"LAKE LAND 'OR SERVICE AREA"	73768	NA	NA	"vwuds_flag_coord"
59868	"EMERSON BROTHERS"	72756	0.1	0.1	"vwuds_flag_coord"
59869	"EMERSON BROTHERS"	72756	0.1	0.1	"vwuds_flag_coord"
59884	"Brink Concentrator Site System"	72936	0.1	0.1	"vwuds_flag_coord"
59886	"Casta Line Trout Farm - Middlebrook"	73163	NA	NA	"vwuds_flag_coord"
59888	"MIKE ASHWORTH"	72789	0.1	0.1	"vwuds_flag_coord"
59899	"MARK NEWMAN"	74016	0.1	0.1	"vwuds_flag_coord"
59907	"JAMES AND JIMMY RIGNEY"	72788	0.1	0.1	"vwuds_flag_coord"
59923	"EVELYN D MCPHERSON"	73679	0.1	0.1	"vwuds_flag_coord"
59925	"CHERITON FARMS"	71876	0.1	0.1	"vwuds_flag_coord"
59926	"WILLIAMS CATTLE CO LLC"	72591	0.1	0.1	"vwuds_flag_coord"
59934	"INGLESIDE PLANTATION NURSERIES"	72612	0.1	0.1	"vwuds_flag_coord"
59935	"INGLESIDE PLANTATION NURSERIES"	72612	0.1	0.1	"vwuds_flag_coord"
59942	"Howard T. Yeatts, Jr."	72183	0.1	0.1	"vwuds_flag_coord"
59943	"JAMES E WENGER"	73065	34.2483	-79.0608	"vwuds_flag_coord"
59944	"MIKE ASHWORTH"	72789	0.1	0.1	"vwuds_flag_coord"
59955	"Irrigation Pump"	71838	0.1	0.1	"vwuds_flag_coord"
59956	"SOUTH RIVER FARM, LLC."	73056	0.1	0.1	"vwuds_flag_coord"
59964	"WOODBERRY FOREST SCHOOL"	74049	38.285278	78.118611	"vwuds_flag_coord"
59966	"Elkington Farm"	74228	0.1	0.1	"vwuds_flag_coord"
59968	"INGLESIDE PLANTATION NURSERIES"	72612	0.1	0.1	"vwuds_flag_coord"
59969	"INGLESIDE PLANTATION NURSERIES"	72612	0.1	0.1	"vwuds_flag_coord"
59974	"WILLIAMS CATTLE CO LLC"	72591	0.1	0.1	"vwuds_flag_coord"
59975	"WILLIAMS CATTLE CO LLC"	72591	0.1	0.1	"vwuds_flag_coord"
59979	"INGLESIDE PLANTATION NURSERIES"	72612	0.1	0.1	"vwuds_flag_coord"
59980	"CHEROKEE POINT FARMS"	73926	0.1	0.1	"vwuds_flag_coord"
59981	"WOODBERRY FOREST SCHOOL"	74049	38.285	78.118889	"vwuds_flag_coord"
59984	"CHEROKEE POINT FARMS"	73926	0.1	0.1	"vwuds_flag_coord"
59987	"DONALD L MOORE"	74190	0.1	0.1	"vwuds_flag_coord"
60001	"JOHN N MILLS & SONS - 3 FARMS"	73280	0.1	0.1	"vwuds_flag_coord"
60007	"JEFFERSON-LAKESIDE COUNTRY CLB"	73200	0.1	0.1	"vwuds_flag_coord"
60018	"KELLEY FARMS INC."	71792	0.1	0.1	"vwuds_flag_coord"
60032	"CASTLE FARM INC"	73262	0.1	0.1	"vwuds_flag_coord"
60103	"TORMENTOR CREEK"	72950	NA	NA	"vwuds_flag_coord"
60137	"BASS FARMS"	73901	0.1	0.01	"vwuds_flag_coord"
60145	"CARROLL COUNTY REGIONAL"	71668	NA	NA	"vwuds_flag_coord"
60157	"Farm Pond"	73717	0.1	0.1	"vwuds_flag_coord"
60158	"BYRON F BLAIR SR"	74035	0.1	0.1	"vwuds_flag_coord"
60166	"MIKE ASHWORTH"	72789	0.1	0.1	"vwuds_flag_coord"
60174	"Elkington Farm"	74228	0.1	0.1	"vwuds_flag_coord"
60176	"JAMES N ADAMS"	72119	0.1	0.1	"vwuds_flag_coord"
60178	"Somerset"	71851	0.1	0.1	"vwuds_flag_coord"
60181	"ENFIELD SOD - ENFIELD FARM"	72477	0.1	0.1	"vwuds_flag_coord"
60192	"W.T. HOLLAND & SONS, INC"	72807	0.1	0.1	"vwuds_flag_coord"
60206	"SEVEN SPRINGS FARMS INC"	73009	0.1	0.1	"vwuds_flag_coord"
60208	"GARRETT FARMS INC"	72255	0.1	0.1	"vwuds_flag_coord"
60209	"Midwood Farm"	66917	0.1	0.1	"vwuds_flag_coord"
60214	"Lancaster Farms Incorporated"	67291	0.1	0.1	"vwuds_flag_coord"
60216	"EMERSON BROTHERS"	72756	0.1	0.1	"vwuds_flag_coord"
60217	"SAMPSON TOWNES"	72101	0.1	0.1	"vwuds_flag_coord"
60218	"WAYNE T HEATH FARMS INC"	73562	0.1	0.1	"vwuds_flag_coord"
60225	"BASS FARMS"	73901	0.1	0.1	"vwuds_flag_coord"
60230	"Lancaster Farms Incorporated"	67291	0.1	0.1	"vwuds_flag_coord"
60231	"XSCAPES LANDSCAPE NURSERY"	73883	0.1	0.1	"vwuds_flag_coord"
60232	"EMERSON BROTHERS"	72756	0.1	0.1	"vwuds_flag_coord"
60237	"Van Kesteren Farms Incorporated"	67020	NA	NA	"vwuds_flag_coord"
60246	"JOSEPH L SEAMSTER"	71824	0.1	0.1	"vwuds_flag_coord"
60255	"MRS EMILY JEFFERSON"	72116	0.1	0.1	"vwuds_flag_coord"
60259	"EMERSON BROTHERS"	72756	0.1	0.1	"vwuds_flag_coord"
60270	"Midwood Farm"	66917	0.1	0.1	"vwuds_flag_coord"
60279	"TICONDEROGA FARMS"	71937	0.1	0.1	"vwuds_flag_coord"
60280	"KINGS GREAT FARMS INC"	71973	0.1	0.1	"vwuds_flag_coord"
60281	"Van Kesteren Farms Incorporated"	67020	NA	NA	"vwuds_flag_coord"
60284	"XSCAPES LANDSCAPE NURSERY"	73883	0.1	0.1	"vwuds_flag_coord"
60286	"CARL V SHELL"	72257	0.1	0.1	"vwuds_flag_coord"
60297	"AUBREY H LEWIS"	71719	0.1	0.1	"vwuds_flag_coord"
60302	"L & G FARMS"	72638	0.1	0.1	"vwuds_flag_coord"
60304	"CREEK RUN FARM"	73615	0.1	0.1	"vwuds_flag_coord"
60309	"FLORA DAIRY"	73620	0.1	0.1	"vwuds_flag_coord"
60310	"SONNY ACRE FARM"	72281	0.1	0.1	"vwuds_flag_coord"
60314	"EDIBLE LANDSCAPING"	73867	0.1	0.1	"vwuds_flag_coord"
60316	"GORDON BROTHERS ENTERPRISES"	72999	0.1	0.1	"vwuds_flag_coord"
60318	"PIERCE FARM"	72606	36.5327777778	-77.4008333333	"vwuds_flag_coord"
60319	"JAMES N ADAMS"	72119	0.1	0.1	"vwuds_flag_coord"
60320	"Van Kesteren Farms Incorporated"	67020	NA	NA	"vwuds_flag_coord"
60321	"TUCKS FARMS"	72244	0.1	0.1	"vwuds_flag_coord"
60323	"KINGS GREAT FARMS INC"	71973	0.1	0.1	"vwuds_flag_coord"
60326	"BASS FARMS"	73901	0.1	0.1	"vwuds_flag_coord"
60329	"SEVEN SPRINGS FARMS INC"	73009	0.1	0.1	"vwuds_flag_coord"
60330	"BASS FARMS"	73901	0.1	0.1	"vwuds_flag_coord"
60332	"SMITHFIELD GARDENS"	71721	0.1	0.1	"vwuds_flag_coord"
60336	"GORDON BROTHERS ENTERPRISES"	72999	0.1	0.1	"vwuds_flag_coord"
60338	"JAMES  A THOMPSON JR"	72886	0.1	0.1	"vwuds_flag_coord"
60352	"WILLIAM C CLARK"	74414	0.1	0.1	"vwuds_flag_coord"
60356	"F.A. HOLLAND & SONS"	72049	0.1	0.1	"vwuds_flag_coord"
60357	"Duer Home Farm"	67392	0.1	0.1	"vwuds_flag_coord"
60375	"YAROS FARMS INC"	72380	0.1	0.1	"vwuds_flag_coord"
60386	"SYDNOR - small well systems"	71570	0.1	0.1	"vwuds_flag_coord"
60388	"KELLEY FARMS INC."	71792	0.1	0.1	"vwuds_flag_coord"
60391	"Duer Home Farm"	67392	0.1	0.1	"vwuds_flag_coord"
60397	"Farm Ponds"	73713	0.1	0.1	"vwuds_flag_coord"
60400	"ASHLAND BERRY FARM"	72550	0.1	0.1	"vwuds_flag_coord"
60403	"BLACKWATER HOG FARM"	71922	0.1	0.1	"vwuds_flag_coord"
60405	"J L WALKER"	74305	0.1	0.1	"vwuds_flag_coord"
60408	"TICONDEROGA FARMS"	71937	0.1	0.1	"vwuds_flag_coord"
60416	"BASS FARMS"	73901	0.1	0.1	"vwuds_flag_coord"
60428	"RENWOOD FARMS INC"	72755	0.1	0.1	"vwuds_flag_coord"
60433	"RIVER ROAD FARM"	74226	0.1	0.1	"vwuds_flag_coord"
60437	"JOHN N MILLS & SONS - 3 FARMS"	73280	0.1	0.1	"vwuds_flag_coord"
60439	"JOHN N MILLS & SONS - 3 FARMS"	73280	0.1	0.1	"vwuds_flag_coord"
60446	"BALLARD FARM"	71864	0.1	0.1	"vwuds_flag_coord"
60449	"LAWRENCE HOBBS"	72200	0.1	0.1	"vwuds_flag_coord"
60450	"RIVER ROAD FARM"	74226	0.1	0.1	"vwuds_flag_coord"
60451	"HOLLY HILL FARM CORP"	73515	0.1	0.1	"vwuds_flag_coord"
60452	"HOLLY HILL FARM CORP"	73515	0.1	0.1	"vwuds_flag_coord"
60457	"SUNSET VIEW FARM"	72349	0.1	0.1	"vwuds_flag_coord"
60465	"LAKE WILDERNESS SERVICE AREA"	72573	0.1	0.1	"vwuds_flag_coord"
60467	"INGLESIDE PLANTATION NURSERIES"	72612	0.1	0.1	"vwuds_flag_coord"
60468	"YAROS FARMS INC"	72380	0.1	0.1	"vwuds_flag_coord"
60469	"YAROS FARMS INC"	72380	0.1	0.1	"vwuds_flag_coord"
60481	"HORSESHOE FARM"	73438	0.1	0.1	"vwuds_flag_coord"
60484	"TUSCARORA COUNTRY CLUB"	72880	39.668611111111	-79.431944444444	"vwuds_flag_coord"
60486	"Farms"	73232	0.1	0.1	"vwuds_flag_coord"
60488	"Brink Concentrator Site System"	72936	NA	NA	"vwuds_flag_coord"
60493	"YAROS FARMS INC"	72380	0.1	0.1	"vwuds_flag_coord"
60495	"RAY NEWMAN"	74017	0.1	0.1	"vwuds_flag_coord"
60505	"Household, Barn and Lawn"	73380	NA	NA	"vwuds_flag_coord"
60510	"DIFFICULT HILL FARM"	73946	0.99	-0.99	"vwuds_flag_coord"
60511	"LAKE WILDERNESS SERVICE AREA"	72573	0.1	0.1	"vwuds_flag_coord"
60513	"YAROS FARMS INC"	72380	0.1	0.1	"vwuds_flag_coord"
60519	"YAROS FARMS INC"	72380	0.1	0.1	"vwuds_flag_coord"
60521	"Farms"	73232	0.1	0.1	"vwuds_flag_coord"
60524	"ROBERT I MAPP"	73825	0.1	0.1	"vwuds_flag_coord"
60563	"DAVIDS NURSERY"	73271	0.1	0.1	"vwuds_flag_coord"
60564	"David's Nursery"	67316	0.1	0.1	"vwuds_flag_coord"
60571	"W.T. HOLLAND & SONS, INC"	72807	0.1	0.1	"vwuds_flag_coord"
60660	"Manassas"	73561	0.1	0.1	"vwuds_flag_coord"
60664	"BALLARD FARM"	71864	0.1	0.1	"vwuds_flag_coord"
60689	"Household, Barn and Lawn"	73380	NA	NA	"vwuds_flag_coord"
60699	"BRICKHOUSE FARM"	71853	0.1	0.1	"vwuds_flag_coord"
60700	"BALLARD FARM"	71864	0.1	0.1	"vwuds_flag_coord"
60701	"INGLESIDE PLANTATION NURSERIES"	72612	0.1	0.1	"vwuds_flag_coord"
60708	"RICKS AND VANS"	72821	0.1	0.1	"vwuds_flag_coord"
60766	"CURTIS MITCHELL"	72167	0.1	0.1	"vwuds_flag_coord"
60783	"RIVERSIDE FARM"	74077	0.1	0.1	"vwuds_flag_coord"
60799	"CHARLOTTE CT HSE SERVICE AREA"	73739	0.1	0.1	"vwuds_flag_coord"
60802	"CONCORD CONCENTRATOR SITE"	71999	36.5245	-77.3435	"vwuds_flag_coord"
60817	"CONCORD CONCENTRATOR SITE"	71999	36.5226	-77.3429	"vwuds_flag_coord"
60829	"CONCORD CONCENTRATOR SITE"	71999	36.5213	-77.344	"vwuds_flag_coord"
60834	"CONCORD CONCENTRATOR SITE"	71999	36.5309	-77.3425	"vwuds_flag_coord"
60835	"DONALD L MOORE"	74190	0.1	0.1	"vwuds_flag_coord"
60876	"Household, Barn and Lawn"	73380	NA	NA	"vwuds_flag_coord"
60957	"Oak Shades Mobile Home Park"	67058	NA	NA	"vwuds_flag_coord"
60992	"WILLIAM H ROGERS JR"	73593	0.1	0.1	"vwuds_flag_coord"
61011	"CARL BOUSMAN"	71633	0.1	0.1	"vwuds_flag_coord"
61015	"GEORGE H LOVELL"	71979	0.1	0.1	"vwuds_flag_coord"
61024	"WISE FARM LLC"	72279	0.1	0.1	"vwuds_flag_coord"
61025	"Somerset"	71851	0.1	0.1	"vwuds_flag_coord"
61027	"LAKE WILDERNESS SERVICE AREA"	72573	0.1	0.1	"vwuds_flag_coord"
61055	"GARY AND RHONDA GUTHRIE"	73078	0.1	0.1	"vwuds_flag_coord"
61083	"DAVID A MILLER"	72851	0.1	0.1	"vwuds_flag_coord"
61288	"BAYSHORE FARMS"	74074	0.1	0.1	"vwuds_flag_coord"
61356	"RAY NEWMAN"	74017	0.1	0.1	"vwuds_flag_coord"
61362	"VIRGINIA BEACH KOA CAMPGROUND"	71662	NA	NA	"vwuds_flag_coord"
61417	"Greenbrier Farms Nursery"	67325	0.1	0.1	"vwuds_flag_coord"
61476	"ALICE BARNES"	72159	0.1	0.1	"vwuds_flag_coord"
61492	"KELLEY FARMS INC."	71792	0.1	0.1	"vwuds_flag_coord"
61516	"BASS FARMS"	73901	0.1	0.1	"vwuds_flag_coord"
61522	"WILLIAMS CATTLE CO LLC"	72591	0.1	0.1	"vwuds_flag_coord"
61533	"W.T. HOLLAND & SONS, INC"	72807	0.1	0.1	"vwuds_flag_coord"
61553	"AUGUSTA FORESTRY CENTER"	73317	0.1	0.1	"vwuds_flag_coord"
61554	"CHEROKEE POINT FARMS"	73926	0.1	0.1	"vwuds_flag_coord"
61598	"RAY NEWMAN"	74017	0.1	0.1	"vwuds_flag_coord"
61603	"RIVER ROAD FARM"	74226	0.1	0.1	"vwuds_flag_coord"
61606	"HORSESHOE FARM"	73438	0.1	0.1	"vwuds_flag_coord"
61642	"BAYSHORE FARMS"	74074	0.1	0.1	"vwuds_flag_coord"
61649	"Brink Concentrator Site System"	72936	NA	NA	"vwuds_flag_coord"
61657	"RAY NEWMAN"	74017	0.1	0.1	"vwuds_flag_coord"
61792	"BETHEL HEIGHTS"	73549	NA	NA	"vwuds_flag_coord"
62005	"Charles West Farm"	74310	NA	NA	"vwuds_flag_coord"
62014	"MT AIRY FARM"	71900	0.1	0.1	"vwuds_flag_coord"
62016	"BLACKWATER HOG FARM"	71922	0.1	0.1	"vwuds_flag_coord"
62044	"J L WALKER"	74305	0.1	0.1	"vwuds_flag_coord"
62054	"Household, Barn and Lawn"	73380	NA	NA	"vwuds_flag_coord"
62060	"RAY NEWMAN"	74017	0.1	0.1	"vwuds_flag_coord"
62081	"YAROS FARMS INC"	72380	0.1	0.1	"vwuds_flag_coord"
62107	"Midwood Farm"	66917	0.1	0.1	"vwuds_flag_coord"
62113	"Wilkins Brothers Dairy LLC"	72617	0.1	0.1	"vwuds_flag_coord"
62140	"RAY NEWMAN"	74017	0.1	0.1	"vwuds_flag_coord"
62159	"DIFFICULT HILL FARM"	73946	0.99	-0.99	"vwuds_flag_coord"
62227	"Duer Home Farm"	67392	0.1	0.1	"vwuds_flag_coord"
62243	"GERALD B WILLIAMS"	72169	0.1	0.1	"vwuds_flag_coord"
62370	"SYDNOR - small well systems"	71570	0.1	0.1	"vwuds_flag_coord"
62400	"SYDNOR - small well systems"	71570	0.1	0.1	"vwuds_flag_coord"
62584	"CHRISTIAN/AMES FARM"	72563	0.1	0.1	"vwuds_flag_coord"
62626	"RIVERHILL FARMS LLC"	71917	0.1	0.1	"vwuds_flag_coord"
62666	"EMERSON BROTHERS"	72756	0.1	0.1	"vwuds_flag_coord"
62667	"BLACKWATER HOG FARM"	71922	0.1	0.1	"vwuds_flag_coord"
62672	"EMERSON BROTHERS"	72756	0.1	0.1	"vwuds_flag_coord"
62694	"OTTOBINE DAIRY"	74047	0.1	0.1	"vwuds_flag_coord"
62863	"Farm Ponds"	73713	0.1	0.1	"vwuds_flag_coord"
62940	"CARL V SHELL"	72257	0.1	0.1	"vwuds_flag_coord"
62963	"LAKE PACKING COMPANY INC"	74135	0.1	0.1	"vwuds_flag_coord"
62985	"Mappsville North Complex"	67415	0.1	0.1	"vwuds_flag_coord"
62987	"YAROS FARMS INC"	72380	0.1	0.1	"vwuds_flag_coord"
63044	"GEORGE T BRYANT JR"	72708	0.1	0.1	"vwuds_flag_coord"
63083	"EVELYN D MCPHERSON"	73679	0.1	0.1	"vwuds_flag_coord"
63130	"Colonial Williamsburg -New Golf Course"	66920	36.261111111111	-76.686111111111	"vwuds_flag_coord"
63203	"YAROS FARMS INC"	72380	0.1	0.1	"vwuds_flag_coord"
63252	"F.A. HOLLAND & SONS"	72049	0.1	0.1	"vwuds_flag_coord"
63272	"SYDNOR - small well systems"	71570	0.1	0.1	"vwuds_flag_coord"
63274	"ROSLYN FARM"	72298	0.1	0.1	"vwuds_flag_coord"
63277	"SIX-O-FIVE VILLAGE"	72802	NA	NA	"vwuds_flag_coord"
63286	"SYDNOR - small well systems"	71570	0.1	0.1	"vwuds_flag_coord"
63292	"INGLESIDE PLANTATION NURSERIES"	72612	0.1	0.1	"vwuds_flag_coord"
63307	"SELDOM RESTS FARMS"	73891	0.1	0.1	"vwuds_flag_coord"
63343	"WAYNE T HEATH FARMS INC"	73562	0.1	0.1	"vwuds_flag_coord"
63344	"GREEN ACRES FARMS"	73274	0.1	0.1	"vwuds_flag_coord"
63363	"FRIEDENSHEIM"	72982	0.1	0.1	"vwuds_flag_coord"
63382	"PEACH ORCHARD FARM"	72937	0.1	0.1	"vwuds_flag_coord"
63384	"BAYSHORE FARMS"	74074	0.1	0.1	"vwuds_flag_coord"
63418	"RICHARD BYRUM"	72333	0.1	0.1	"vwuds_flag_coord"
63441	"M D ROBERTS"	72158	0.1	0.1	"vwuds_flag_coord"
63451	"SAMUEL TURNER & BOBBY HATCHETT"	74398	0.1	0.1	"vwuds_flag_coord"
63452	"J L WALKER"	74305	0.1	0.1	"vwuds_flag_coord"
63458	"JOHN WALKER"	72188	0.1	0.1	"vwuds_flag_coord"
63459	"Midwood Farm"	66917	0.1	0.1	"vwuds_flag_coord"
63470	"ASHLAND FARMS"	72186	0.1	0.1	"vwuds_flag_coord"
