"DEQ.ID.of.Source"	"FacilityName"	"FacilityID"	"Latitude"	"Longitude"	"flag"	"Corrected_Latitude"	"Corrected_Longitude"
58747	"L TOM LEWIS"	1228	0.1	0	"vwuds_flag_coord"	37.211688	-75.977135
58748	"L TOM LEWIS"	1228	0.1	0	"vwuds_flag_coord"	37.211688	-75.977135
58752	"Cubberley Farms"	506	0.1	0	"vwuds_flag_coord"	37.383289	-75.972167
58753	"Cubberley Farms"	506	0.1	0	"vwuds_flag_coord"	37.383289	-75.972167
58756	"E ANDERSON SCOTT"	629	0.1	0	"vwuds_flag_coord"	36.549361	-79.45606
58759	"W.T. HOLLAND & SONS, INC"	2282	0.1	0.1	"vwuds_flag_coord"	37.993366	-75.574312
58761	"W.T. HOLLAND & SONS, INC"	2282	0.1	0	"vwuds_flag_coord"	37.993358	-75.574258
58762	"W.T. HOLLAND & SONS, INC"	2282	0.1	0	"vwuds_flag_coord"	37.993358	-75.574258
58763	"W.T. HOLLAND & SONS, INC"	2282	0.1	0	"vwuds_flag_coord"	37.993358	-75.574258
58764	"W.T. HOLLAND & SONS, INC"	2282	0.1	0	"vwuds_flag_coord"	37.993358	-75.574258
58765	"W.T. HOLLAND & SONS, INC"	2282	-99	-99	"vwuds_flag_coord"	37.993358	-75.574258
58806	"VAN DORN"	2228	0	0	"vwuds_flag_coord"	38.810369	-77.132539
58852	"BOB EAST JR"	204	0.1	0	"vwuds_flag_coord"	38.10407	-79.057401
58855	"NiceView Farm"	1532	37	77	"vwuds_flag_coord"	37	-77
58860	"HALL FARMS INC"	918	0.1	0	"vwuds_flag_coord"	36.715915	-76.241032
58862	"KEENBELL FARMS"	1178	0.1	0	"vwuds_flag_coord"	37.754286	-77.742015
58897	"PHENIX SERVICE AREA"	1661	99	-99	"vwuds_flag_coord"	37.084444444	-78.714722222
58950	"CHEROKEE POINT FARMS"	387	0.1	0	"vwuds_flag_coord"	37.469246	-75.930752
58954	"CONCORD CONCENTRATOR SITE"	472	36.522	-77.3447	"vwuds_flag_coord"	36.522	-77.3447
58959	"BALLARD FARM"	98	0.1	0	"vwuds_flag_coord"	37.917692	-75.372709
58966	"HOPELAND FARM"	1029	0.1	0	"vwuds_flag_coord"	37.829618	-75.623322
58986	"ELKTON PLANT"	668	0.03	0.01	"vwuds_flag_coord"	38.409422	-78.634628
58993	"RICHARD L  SCRUGGS"	1801	0.1	0	"vwuds_flag_coord"	36.956388888	-79.349166666
58996	"VINTON SERVICE AREA"	2255	6	-79.8980555556	"vwuds_flag_coord"	37.270277777	-79.898055555
59016	"LAKE LAND 'OR SERVICE AREA"	1242	99	-99	"vwuds_flag_coord"	38.025277777	-77.572777777
59018	"BASS FARMS"	109	0.1	0	"vwuds_flag_coord"	37.161864	-79.070868
59037	"Brink Concentrator Site System"	240	37	77	"vwuds_flag_coord"	37	-77
59038	"SMALL SYSTEMS"	1990	-99	-99	"vwuds_flag_coord"	37.585125	-77.287202
59041	"Henry Fitzgerald Farm"	962	99	-99	"vwuds_flag_coord"	37.71264	-78.933318
59043	"SMALL SYSTEMS"	1990	-99	-99	"vwuds_flag_coord"	37.656621	-77.374861
59044	"Rappahannock Community College-Glenns Campus"	1759	99	-99	"vwuds_flag_coord"	37.564348	-76.623861
59054	"RAMSEY L. TAYLOR"	1751	0.1	0	"vwuds_flag_coord"	36.883615	-79.289577
59055	"SYDNOR - small well systems"	2114	0.1	0	"vwuds_flag_coord"	37.526263	-76.419289
59065	"SMALL SYSTEMS"	1990	-99	-99	"vwuds_flag_coord"	37.656621	-77.374861
59067	"MICHAEL J ELKO III"	1428	0.1	0	"vwuds_flag_coord"	37.252543	-77.483374
59068	"SYDNOR - small well systems"	2114	0.1	0	"vwuds_flag_coord"	37.526263	-76.419289
59070	"Midwood Farm"	1434	0.1	0	"vwuds_flag_coord"	37.202379	-75.966868
59090	"FRANK ELKO"	770	0.1	0	"vwuds_flag_coord"	37.22761	-77.407558
59095	"LESLIE MATTOX"	1294	0.1	0	"vwuds_flag_coord"	36.825564	-79.398312
59107	"GARY AND RHONDA GUTHRIE"	804	0.1	0	"vwuds_flag_coord"	37.017222222	-79.040555555
59108	"Grange Hall School"	880	-99	99	"vwuds_flag_coord"	37.38861	-77.76624
59113	"Queenfield Golf Club"	1737	99	-99	"vwuds_flag_coord"	37.710569	-77.196742
59114	"Queenfield Golf Club"	1737	99	-99	"vwuds_flag_coord"	37.710569	-77.234166666
59135	"YAROS FARMS INC"	2445	99	-99	"vwuds_flag_coord"	37.19862	-75.979445
59137	"Spring Creek Golf Club"	2042	37	78	"vwuds_flag_coord"	37.99439444	-78.21106111
59155	"ATWOOD FARMS"	36	99	-99	"vwuds_flag_coord"	38.644399444	-78.451183547
59156	"INDEPENDENT SYSTEMS"	1070	NA	NA	"vwuds_flag_coord"	36.980395	-76.626099
59171	"SMALL SYSTEMS"	1990	-99	-99	"vwuds_flag_coord"	37.585125	-77.287202
59173	"BASS FARMS"	109	0.1	0	"vwuds_flag_coord"	37.161864	-79.070868
59178	"BRIDGEWATER WTP"	237	99	-99	"vwuds_flag_coord"	38.388828519	-78.985471852
59183	"Guilford Heights Subdivision"	910	99	-99	"vwuds_flag_coord"	37	-76
59192	"MANAKIN FARMS SERVICE AREA"	1358	0.1	0	"vwuds_flag_coord"	37.604166666	-77.716666666
59205	"Bath County Regional Water System"	114	0	0	"vwuds_flag_coord"	38.112352	-79.653105
59210	"LAKE WILDERNESS SERVICE AREA"	1254	0.1	0	"vwuds_flag_coord"	38.312777777	-77.739166666
59219	"Lemon Farm"	1292	0	0	"vwuds_flag_coord"	37.494339	-80.108312
59222	"SYDNOR - small well systems"	2114	-99	-99	"vwuds_flag_coord"	37.544109	-77.441791
59223	"TIMBER RIDGE FRUIT FARM"	2171	0.1	0	"vwuds_flag_coord"	39.259377	-78.380591
59224	"SYDNOR - BRAXTON'S LANDING"	2111	0.1	0	"vwuds_flag_coord"	37.559846	-77.415355
59230	"LAKE LAND 'OR SERVICE AREA"	1242	99	-99	"vwuds_flag_coord"	38.025277777	-77.572777777
59231	"LAKE LAND 'OR SERVICE AREA"	1242	99	-99	"vwuds_flag_coord"	38.025277777	-77.572777777
59235	"WOODBRIDGE MOBILE HOME PARK"	2422	99	-99	"vwuds_flag_coord"	38.661456	-77.288681
59242	"TIMBER RIDGE FRUIT FARM"	2171	0.1	0	"vwuds_flag_coord"	39.259377	-78.380591
59243	"SYDNOR - FOUNDER'S BRIDGE"	2113	NA	NA	"vwuds_flag_coord"	37.559892	-77.415233
59273	"RAY NEWMAN"	1767	0.1	0	"vwuds_flag_coord"	36.873685	-76.118763
59297	"GORDON BROTHERS ENTERPRISES"	867	0.1	0	"vwuds_flag_coord"	36.607828	-78.595987
59300	"Farms"	718	99	-99	"vwuds_flag_coord"	36.762834	-79.65384
59338	"MANAKIN FARMS SERVICE AREA"	1358	0.1	0	"vwuds_flag_coord"	37.604166666	-77.716666666
59350	"Mayhew Farm"	1403	99	-99	"vwuds_flag_coord"	38.673076	-77.48862
59359	"KENNETH G REYNOLDS"	1187	0.1	0	"vwuds_flag_coord"	36.865457	-79.591093
59370	"Henry Fitzgerald Farm"	962	99	-99	"vwuds_flag_coord"	37.71264	-78.933318
59379	"RIVERSIDE FARM"	1835	0.1	0	"vwuds_flag_coord"	37.708055555	-77.234166666
59385	"GLENVAR EAST SERVICE AREA"	845	99	-99	"vwuds_flag_coord"	37.283333333	-80.136666666
59387	"J EDGAR ADAMS"	1097	0.1	0	"vwuds_flag_coord"	36.816953	-79.826347
59405	"Henry Fitzgerald Farm"	962	99	-99	"vwuds_flag_coord"	37.71264	-78.933318
59408	"WAYNE T HEATH FARMS INC"	2321	0.1	0	"vwuds_flag_coord"	37.182777777	-75.990277777
59410	"SYDNOR - CAMP PIANKATANK"	2112	0.1	0	"vwuds_flag_coord"	37.532405	-76.434722
