"DEQ.ID.of.Source"	"FacilityName"	"Latitude"	"Longitude"	"vwuds_flag_coord"	"Corrected_Latitude"	"Corrected_Longitude"
15	"Tyson Farms, Inc."	37.889305555	-75.56275	""	37.889305555	-75.56275
16	"Tyson Farms, Inc."	37.887138888	-75.560333333	""	37.887138888	-75.560333333
17	"Tyson Farms, Inc."	37.884527777	-75.558972222	""	37.884527777	-75.558972222
18	"Tyson Farms, Inc."	37.882388888	-75.557	""	37.882388888	-75.557
21	"Onancock Town of"	37.709166666	-75.741666666	""	37.709166666	-75.741666666
22	"Onancock Town of"	37.709166666	-75.741666666	""	37.709166666	-75.741666666
23	"Perdue Farms Incorporated"	37.734083333	-75.653444444	""	37.734083333	-75.653444444
27	"Perdue Farms Incorporated"	37.738638888	-75.652666666	""	37.738638888	-75.652666666
28	"Chincoteague Town of"	37.942388888	-75.455722222	""	37.942388888	-75.455722222
29	"Perdue Farms Incorporated"	37.741694444	-75.655805555	""	37.741694444	-75.655805555
30	"Perdue Farms Incorporated"	37.735722222	-75.649527777	""	37.735722222	-75.649527777
31	"Captain's Cove Utility Company, Inc."	37.994694444	-75.417388888	""	37.994694444	-75.417388888
32	"Chincoteague Town of"	37.940888888	-75.456333333	""	37.940888888	-75.456333333
33	"Onancock Town of"	37.709444444	-75.741666666	""	37.709444444	-75.741666666
34	"Onancock Town of"	37.716388888	-75.748055555	""	37.716388888	-75.748055555
35	"Onancock Town of"	37.716388888	-75.748333333	""	37.716388888	-75.748333333
36	"Captain's Cove Utility Company, Inc."	38.003222222	-75.425833333	""	38.003222222	-75.425833333
37	"Riverside Shore Rehabilitation Center"	37.757777777	-75.6225	""	37.757777777	-75.6225
38	"Captain's Cove Utility Company, Inc."	37.989444444	-75.424527777	""	37.989444444	-75.424527777
39	"Perdue Farms Incorporated"	37.738944444	-75.660472222	""	37.738944444	-75.660472222
40	"Tyson Farms, Inc."	37.891592622	-75.559116761	""	37.891592622	-75.559116761
41	"US NASA -Goddard Space Flight Center - Island System"	37.863333333	-75.508888888	""	37.863333333	-75.508888888
42	"US NASA -Goddard Space Flight Center - Island System"	37.86	-75.510833333	""	37.86	-75.510833333
51	"KMX Chemical Corporation"	37.976944444	-75.538333333	""	37.976944444	-75.538333333
52	"Chincoteague Town of"	37.941444444	-75.455694444	""	37.941444444	-75.455694444
54	"Integrated Fisheries International Limited"	37.856138888	-75.559638888	""	37.856138888	-75.559638888
55	"Chincoteague Town of"	37.945	-75.453888888	""	37.945	-75.453888888
58	"KMX Chemical Corporation"	37.977222222	-75.538333333	""	37.977222222	-75.538333333
59	"Virginia Landing Campground"	37.48225	-75.791861111	""	37.48225	-75.791861111
60	"Trails End Utility Company Incorporated"	37.958611111	-75.450833333	""	37.958611111	-75.450833333
61	"Chincoteague Town of"	37.935972222	-75.460861111	""	37.935972222	-75.460861111
62	"Chincoteague Town of"	37.936583333	-75.46	""	37.936583333	-75.46
63	"Chincoteague Town of"	37.938611111	-75.459	""	37.938611111	-75.459
64	"Perdue Farms Incorporated"	37.734611111	-75.653444444	""	37.734611111	-75.653444444
65	"Tyson Farms, Inc."	37.885777777	-75.559583333	""	37.885777777	-75.559583333
66	"US NASA -Goddard Space Flight Center - Island System"	37.862222222	-75.509444444	""	37.862222222	-75.509444444
68	"Trails End Utility Company Incorporated"	37.958888888	-75.4475	""	37.958888888	-75.4475
69	"Integrated Fisheries International Limited"	37.853611111	-75.558083333	""	37.853611111	-75.558083333
70	"US NASA -Goddard Space Flight Center - Island System"	37.859444444	-75.510833333	""	37.859444444	-75.510833333
71	"Chincoteague Town of"	37.941444444	-75.455694444	""	37.941444444	-75.455694444
72	"Chincoteague Town of"	37.940694444	-75.456722222	""	37.940694444	-75.456722222
73	"Chincoteague Town of"	37.939666666	-75.456888888	""	37.939666666	-75.456888888
76	"Mappsville Facility & Labor Housing"	37.83525	-75.578555555	""	37.83525	-75.578555555
77	"Eastern Shore Yacht and Country Club"	37.654972222	-75.819861111	""	37.654972222	-75.819861111
78	"Eastern Shore Yacht and Country Club"	37.653888888	-75.821333333	""	37.653888888	-75.821333333
79	"Eastern Shore Yacht and Country Club"	37.658166666	-75.825166666	""	37.658166666	-75.825166666
81	"Eastern Shore Yacht and Country Club"	37.653083333	-75.818222222	""	37.653083333	-75.818222222
91	"Mappsville Facility & Labor Housing"	37.836222222	-75.582416666	""	37.836222222	-75.582416666
92	"Mappsville Facility & Labor Housing"	37.836305555	-75.582638888	""	37.836305555	-75.582638888
93	"Mappsville Facility & Labor Housing"	37.8365	-75.582861111	""	37.8365	-75.582861111
94	"Mappsville Facility & Labor Housing"	37.836583333	-75.583	""	37.836583333	-75.583
95	"Mappsville Facility & Labor Housing"	37.83675	-75.58325	""	37.83675	-75.58325
96	"Mappsville Facility & Labor Housing"	37.836888888	-75.583444444	""	37.836888888	-75.583444444
97	"Mappsville Facility & Labor Housing"	37.836944444	-75.583555555	""	37.836944444	-75.583555555
98	"Mappsville Facility & Labor Housing"	37.837027777	-75.583555555	""	37.837027777	-75.583555555
99	"Mappsville Facility & Labor Housing"	37.837138888	-75.583777777	""	37.837138888	-75.583777777
100	"Mappsville Facility & Labor Housing"	37.836861111	-75.583111111	""	37.836861111	-75.583111111
101	"Mappsville Facility & Labor Housing"	37.836916666	-75.583277777	""	37.836916666	-75.583277777
102	"Eastern Shore Yacht and Country Club"	37.653416666	-75.815194444	""	37.653416666	-75.815194444
104	"Integrated Fisheries International Limited"	37.85675	-75.559777777	""	37.85675	-75.559777777
105	"Integrated Fisheries International Limited"	37.854611111	-75.555888888	""	37.854611111	-75.555888888
106	"Integrated Fisheries International Limited"	37.853861111	-75.556277777	""	37.853861111	-75.556277777
107	"Integrated Fisheries International Limited"	37.854055555	-75.557805555	""	37.854055555	-75.557805555
108	"Integrated Fisheries International Limited"	37.852861111	-75.553611111	""	37.852861111	-75.553611111
109	"Integrated Fisheries International Limited"	37.852444444	-75.559222222	""	37.852444444	-75.559222222
110	"Integrated Fisheries International Limited"	37.849194444	-75.558166666	""	37.849194444	-75.558166666
118	"Town of Parksley Water Works"	37.785027777	-75.650222222	""	37.785027777	-75.650222222
119	"Trails End Utility Company Incorporated"	37.959269444	-75.448886111	""	37.959269444	-75.448886111
120	"Integrated Fisheries International Limited"	37.853611111	-75.558333333	""	37.853611111	-75.558333333
121	"Integrated Fisheries International Limited"	37.855166666	-75.55875	""	37.855166666	-75.55875
124	"Perdue Farms Incorporated"	37.738638888	-75.660666666	""	37.738638888	-75.660666666
126	"Commonwealth Chesapeake Power Station"	37.989166666	-75.542	""	37.989166666	-75.542
127	"Commonwealth Chesapeake Power Station"	37.990333333	-75.539972222	""	37.990333333	-75.539972222
128	"Commonwealth Chesapeake Power Station"	37.989027777	-75.539333333	""	37.989027777	-75.539333333
129	"Commonwealth Chesapeake Power Station"	37.987888888	-75.543416666	""	37.987888888	-75.543416666
130	"Commonwealth Chesapeake Power Station"	37.989638888	-75.54425	""	37.989638888	-75.54425
131	"Commonwealth Chesapeake Power Station"	37.990972222	-75.542833333	""	37.990972222	-75.542833333
132	"Commonwealth Chesapeake Power Station"	37.989583333	-75.541055555	""	37.989583333	-75.541055555
133	"Commonwealth Chesapeake Power Station"	37.988166666	-75.541277777	""	37.988166666	-75.541277777
134	"Commonwealth Chesapeake Power Station"	37.989944444	-75.542611111	""	37.989944444	-75.542611111
135	"Commonwealth Chesapeake Power Station"	37.988922222	-75.53935	""	37.988922222	-75.53935
140	"Accawmacke Ornamentals"	37.715863888	-75.686555555	""	37.715863888	-75.686555555
141	"Accawmacke Ornamentals"	37.716108333	-75.686566666	""	37.716108333	-75.686566666
142	"Accawmacke Ornamentals"	37.7155	-75.687091666	""	37.7155	-75.687091666
