"FacilityID"	"FacilityName"	"FacLong"	"FacLat"	"OutfallID"	"Outfall_Longitude"	"Outfall_Latitude"	"DesignFlow_mgd"	"Measured_Effluent"	"Permitted_Limit"	"Units"	"MP_Begin_Date"	"MP_End_Date"	"Violation_Code"	"Violation_Severity"	"CWPStatus"	"CWPE90Cnt"	"CWPInspectionCount"	"CWPDateLastInspection"
"VA0002178"	"MERCK SHARP & DOHME CORP - ELKTON PLANT"	-78.65199	38.38433	"VA0002178101"	-78.6463888885217	38.3861111113924	7.54	1.34	1.2	"MGD"	"07/01/2012"	"07/31/2012"	"E90"	2	"No Violation"	3	2	"09/27/2017"
"VA0002178"	"MERCK SHARP & DOHME CORP - ELKTON PLANT"	-78.65199	38.38433	"VA0002178101"	-78.6463888885217	38.3861111113924	7.54	1.32	1.2	"MGD"	"03/01/2012"	"03/31/2012"	"E90"	2	"No Violation"	3	2	"09/27/2017"
"VA0003697"	"BWXT NUCLEAR OPERATIONS GROUP INC"	-79.062335	37.414554	"VA0003697001"	-79.0583333330499	37.4194444441966	1	0.3486	NA	"MGD"	"07/01/2017"	"07/31/2017"	"D80"	1	"No Violation"	2	1	"09/24/2014"
"VA0004669"	"E I DU PONT DE NEMOURS AND COMPANY - SPRUANCE PLT"	-77.434577	37.452863	"VA0004669102"	-77.4333299997528	37.4541700002755	43.67	0.28	NA	"MGD"	"02/01/2016"	"02/29/2016"	"D80"	1	"Noncompliance"	3	1	"08/04/2016"
"VA0006076"	"CLIFTON FORGE WATER TREATMENT PLANT"	-79.84699	37.84578	"VA0006076001"	-79.8380555558293	37.848055555767	0.05	0.021	NA	"MGD"	"01/01/2017"	"01/31/2017"	"D80"	1	"No Violation"	0	1	"03/18/2014"
"VA0020176"	"VICTORIA WEST SEWAGE TREATMENT PLANT"	-78.229925	36.993505	"VA0020176001"	-78.237499999652	36.9949999996801	0.2	0.092	NA	"MGD"	"11/01/2015"	"11/30/2015"	"D90"	1	"Noncompliance"	16	NA	"04/10/2013"
"VA0020184"	"VICTORIA EAST SEWAGE TREATMENT PLANT"	-78.22406	36.99305	"VA0020184001"	-78.2161111109405	36.9949999996801	0.4	0.181	0.4	"MGD"	"11/01/2015"	"11/30/2015"	"D90"	1	"Significant Violation"	62	1	"08/27/2014"
"VA0020320"	"COWFORD RD WWTP"	-78.923	36.7692	"VA0020320001"	-78.9091666670719	36.7686111110592	0.3	0.305	0.3	"MGD"	"12/01/2015"	"12/31/2015"	"E90"	2	"Significant Violation"	25	2	"09/04/2015"
"VA0020532"	"BERRYVILLE WWTP"	-77.95567	39.13672	"VA0020532999"	-77.9072222222565	39.1063888888113	0.7	0.87	0.7	"MGD"	"05/01/2018"	"05/31/2018"	"E90"	2	"Noncompliance"	2	2	"09/24/2015"
"VA0020532"	"BERRYVILLE WWTP"	-77.95567	39.13672	"VA0020532002"	-77.8913888889611	39.1249999997473	0.7	0.87	0.7	"MGD"	"05/01/2018"	"05/31/2018"	"E90"	2	"Noncompliance"	2	2	"09/24/2015"
"VA0020729"	"VDOC - BLAND CORRECTIONAL CENTER STP"	-80.887523	37.170398	"VA0020729001"	-80.8913888891424	37.165833333464	0.15	0.144	0.132	"MGD"	"01/01/2018"	"01/31/2018"	"E90"	2	"Significant Violation"	42	2	"05/16/2018"
"VA0020729"	"VDOC - BLAND CORRECTIONAL CENTER STP"	-80.887523	37.170398	"VA0020729001"	-80.8913888891424	37.165833333464	0.15	0.134	0.132	"MGD"	"02/01/2016"	"02/29/2016"	"E90"	2	"Significant Violation"	42	2	"05/16/2018"
"VA0020991"	"BUENA VISTA STP"	-79.3645	37.72405	"VA0020991001"	-79.3636111110727	37.7269444447622	2.25	2.53	2.25	"MGD"	"07/01/2013"	"07/31/2013"	"E90"	2	"No Violation"	2	2	"10/25/2016"
"VA0024163"	"MARY MOTHER OF THE CHURCH ABBEY STP"	-77.675833	37.578611	"VA0024163001"	-77.6966666669537	37.5750000000366	0.015	0.007	0.015	"MGD"	"10/01/2017"	"10/31/2017"	"D80"	1	"Significant Violation"	9	2	"10/12/2016"
