"bundle"	"name"	"ftype"	"hydrocode"	"fstatus"	"dh_link_facility_mps"	"dh_geofield"
"transfer"	"FROM DC0022004"	"outfall"	"echo_DC0022004001"	"active"	"echo_DC0022004"	"POINT (-77.04167 38.81953)"
"transfer"	"FROM DC0022004"	"outfall"	"echo_DC0022004101"	"active"	"echo_DC0022004"	"POINT (-77.04167 38.81953)"
"transfer"	"FROM DC0022004"	"outfall"	"echo_DC0022004102"	"active"	"echo_DC0022004"	"POINT (-77.04167 38.81953)"
"transfer"	"FROM VA0000248"	"outfall"	"echo_VA0000248006"	"active"	"echo_VA0000248"	"POINT (-80.540277778038 37.1936111109879)"
"transfer"	"FROM VA0000248"	"outfall"	"echo_VA0000248402"	"active"	"echo_VA0000248"	"POINT (-80.5569444442865 37.1850000003527)"
"transfer"	"FROM VA0000281"	"outfall"	"echo_VA0000281001"	"active"	"echo_VA0000281"	"POINT (-80.785698 37.048018)"
"transfer"	"FROM VA0000370"	"outfall"	"echo_VA0000370001"	"active"	"echo_VA0000370"	"POINT (-80.8622222223093 37.3713888888417)"
"transfer"	"FROM VA0000370"	"outfall"	"echo_VA0000370002"	"active"	"echo_VA0000370"	"POINT (-80.8633333332129 37.3716666667492)"
"transfer"	"FROM VA0000370"	"outfall"	"echo_VA0000370003"	"active"	"echo_VA0000370"	"POINT (-80.8638888891138 37.3719444443421)"
"transfer"	"FROM VA0000370"	"outfall"	"echo_VA0000370004"	"active"	"echo_VA0000370"	"POINT (-80.8672222218245 37.3736111111432)"
"transfer"	"FROM VA0000370"	"outfall"	"echo_VA0000370005"	"active"	"echo_VA0000370"	"POINT (-80.8672222218245 37.3727777780881)"
"transfer"	"FROM VA0000370"	"outfall"	"echo_VA0000370006"	"active"	"echo_VA0000370"	"POINT (-80.8694444445299 37.3741666666053)"
"transfer"	"FROM VA0000370"	"outfall"	"echo_VA0000370007"	"active"	"echo_VA0000370"	"POINT (-80.8797222224092 37.3833333336769)"
"transfer"	"FROM VA0000523"	"outfall"	"echo_VA0000523001"	"active"	"echo_VA0000523"	"POINT (-80.6652777775964 37.3811111110412)"
"transfer"	"FROM VA0001015"	"outfall"	"echo_VA0001015003"	"active"	"echo_VA0001015"	"POINT (-82.1980555551814 36.9349999998039)"
"transfer"	"FROM VA0001015"	"outfall"	"echo_VA0001015007"	"active"	"echo_VA0001015"	"POINT (-82.1988888890328 36.9238888890899)"
"transfer"	"FROM VA0001015"	"outfall"	"echo_VA0001015008"	"active"	"echo_VA0001015"	"POINT (-82.2016666667408 36.9316666669633)"
"transfer"	"FROM VA0001015"	"outfall"	"echo_VA0001015015"	"active"	"echo_VA0001015"	"POINT (-82.1911111109112 36.9394444446626)"
"transfer"	"FROM VA0001015"	"outfall"	"echo_VA0001015D03"	"active"	"echo_VA0001015"	"POINT (-82.1980369995808 36.9351220003339)"
"transfer"	"FROM VA0001309"	"outfall"	"echo_VA0001309001"	"active"	"echo_VA0001309"	"POINT (-79.411421 36.777769)"
"transfer"	"FROM VA0001309"	"outfall"	"echo_VA0001309101"	"active"	"echo_VA0001309"	"POINT (-79.411421 36.777769)"
"transfer"	"FROM VA0001431"	"outfall"	"echo_VA0001431001"	"active"	"echo_VA0001431"	"POINT (-79.9916666663198 37.2127777778476)"
"transfer"	"FROM VA0001449"	"outfall"	"echo_VA0001449001"	"active"	"echo_VA0001449"	"POINT (-79.4027600001751 37.4083899998528)"
"transfer"	"FROM VA0001490"	"outfall"	"echo_VA0001490001"	"active"	"echo_VA0001490"	"POINT (-79.732150000423 37.3800100003457)"
"transfer"	"FROM VA0001554"	"outfall"	"echo_VA0001554001"	"active"	"echo_VA0001554"	"POINT (-80.259750000041 36.7733888889966)"
"transfer"	"FROM VA0001589"	"outfall"	"echo_VA0001589005"	"active"	"echo_VA0001589"	"POINT (-79.9968710002229 37.2741440001508)"
"transfer"	"FROM VA0001597"	"outfall"	"echo_VA0001597002"	"active"	"echo_VA0001597"	"POINT (-79.9755555559723 37.2788888889992)"
"transfer"	"FROM VA0001678"	"outfall"	"echo_VA0001678001"	"active"	"echo_VA0001678"	"POINT (-79.30821 37.09389)"
"transfer"	"FROM VA0001767"	"outfall"	"echo_VA0001767001"	"active"	"echo_VA0001767"	"POINT (-78.8307500004325 38.258666666594)"
"transfer"	"FROM VA0001767"	"outfall"	"echo_VA0001767101"	"active"	"echo_VA0001767"	"POINT (-78.8313888885508 38.2588888885616)"
"transfer"	"FROM VA0001872"	"outfall"	"echo_VA0001872001"	"active"	"echo_VA0001872"	"POINT (-77.2777777781553 38.8505555555386)"
"transfer"	"FROM VA0001872"	"outfall"	"echo_VA0001872101"	"active"	"echo_VA0001872"	"POINT (-77.1933333333145 38.8530555557773)"
"transfer"	"FROM VA0001872"	"outfall"	"echo_VA0001872102"	"active"	"echo_VA0001872"	"POINT (-77.2777777781553 38.8505555555386)"
"transfer"	"FROM VA0001945"	"outfall"	"echo_VA0001945001"	"active"	"echo_VA0001945"	"POINT (-77.1933330000395 38.7344439998976)"
"transfer"	"FROM VA0001945"	"outfall"	"echo_VA0001945901"	"active"	"echo_VA0001945"	"POINT (-77.1936111112649 38.7358333332442)"
"transfer"	"FROM VA0001961"	"outfall"	"echo_VA0001961001"	"active"	"echo_VA0001961"	"POINT (-78.5661111111413 38.5899999998447)"
"transfer"	"FROM VA0001988"	"outfall"	"echo_VA0001988001"	"active"	"echo_VA0001988"	"POINT (-77.1938888892154 38.7311111111846)"
"transfer"	"FROM VA0002071"	"outfall"	"echo_VA0002071001"	"active"	"echo_VA0002071"	"POINT (-77.2833333335714 38.5366666667372)"
"transfer"	"FROM VA0002071"	"outfall"	"echo_VA0002071003"	"active"	"echo_VA0002071"	"POINT (-77.2827777776705 38.5380555553484)"
"transfer"	"FROM VA0002071"	"outfall"	"echo_VA0002071007"	"active"	"echo_VA0002071"	"POINT (-77.2793888886511 38.5360555555164)"
"transfer"	"FROM VA0002071"	"outfall"	"echo_VA0002071008"	"active"	"echo_VA0002071"	"POINT (-77.2794444440615 38.5361111112326)"
"transfer"	"FROM VA0002071"	"outfall"	"echo_VA0002071009"	"active"	"echo_VA0002071"	"POINT (-77.2793333332406 38.5365277780876)"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151003"	"active"	"echo_VA0002151"	"POINT (-77.3688888893158 38.5191666663823)"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151007"	"active"	"echo_VA0002151"	"POINT (-77.298272 38.518351)"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151009"	"active"	"echo_VA0002151"	"POINT (-77.3094490001028 38.5055559997419)"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151010"	"active"	"echo_VA0002151"	"POINT (-77.298272 38.518351)"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151014"	"active"	"echo_VA0002151"	"POINT (-77.298272 38.518351)"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151016"	"active"	"echo_VA0002151"	"POINT (-77.3030555554785 38.5130555556371)"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151030"	"active"	"echo_VA0002151"	"POINT (-77.298272 38.518351)"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151035"	"active"	"echo_VA0002151"	"POINT (-77.3030555554785 38.5119444447712)"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151072"	"active"	"echo_VA0002151"	"POINT (-77.4111111108379 38.5238888890946)"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151073"	"active"	"echo_VA0002151"	"POINT (-77.4252777773288 38.522499999687)"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151074"	"active"	"echo_VA0002151"	"POINT (-77.4219444446181 38.523055555574)"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151086"	"active"	"echo_VA0002151"	"POINT (-77.373055555878 38.5252777777022)"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151090"	"active"	"echo_VA0002151"	"POINT (-77.3683333334149 38.5249999997356)"
