"bundle"	"name"	"ftype"	"hydrocode"	"fstatus"	"dh_geofield"	"address1"	"city"	"dh_link_admin_location"
"facility"	"MIRANT POTOMAC RIVER L.L.C."	"unknown"	"echo_DC0022004"	"active"	"POINT (-77.04167 38.81953)"	"1400 NORTH ROYAL STREET"	"ALEXANDRIA"	"DC0022004"
"facility"	"WFS-DCA"	"unknown"	"echo_DCNOE3034"	"inactive"	"POINT (-77.06965 38.82436)"	"2901 THOMAS AVE."	"ALEXANDRIA"	"DCNOE3034"
"facility"	"SUMMIT HELICOPTORS"	"unknown"	"echo_ILG870595"	"inactive"	"POINT (-79.899728 37.36209)"	"PO BOX 39"	"CLOVERDALE"	"ILG870595"
"facility"	"UPS GROUND FREIGHT CO INC"	"unknown"	"echo_ILR007054"	"inactive"	"POINT (-77.44713 37.52595)"	"1000 SEMMES AVE"	"RICHMOND"	"ILR007054"
"facility"	"FAIRVIEW BEACH WWTP"	"wwtp"	"echo_MD0056464"	"inactive"	"POINT (-77.235664 38.329326)"	"6268 RIVERVIEW DRIVE"	"FAIRVIEW BEACH"	"MD0056464"
"facility"	"DUMFRIES TERMINAL"	"unknown"	"echo_MD0064556"	"inactive"	"POINT (-77.264998 38.559561)"	"18000 COCKPIT POINT ROAD"	"DUMFRIES"	"MD0064556"
"facility"	"LEESBURG WATER POLL.CONT.FAC."	"unknown"	"echo_MD0066184"	"inactive"	"POINT (-77.52865 39.09505)"	"1391 EAST MARKET ST. S.E."	"LEESBURG"	"MD0066184"
"facility"	"VIRGINIA ELECTRIC AND POWER CO.- POSSUM POINT POWER STA"	"fossilpower"	"echo_MD0066427"	"inactive"	"POINT (-77.2786 38.5391)"	"19000 POSSUM POINT ROAD"	"DUMFRIES"	"MD0066427"
"facility"	"ELYSIAN HEIGHTS WWTP"	"wwtp"	"echo_MD0067598"	"inactive"	"POINT (-77.563617 39.115151)"	"658 ST. CLAIRE ROAD"	"LEESBURG"	"MD0067598"
"facility"	"KENNETH B. ROLLINS MEMORIAL WA"	"unknown"	"echo_MD0068187"	"inactive"	"POINT (-77.50575 39.11092)"	"43234 EDWARDS FERRY ROAD"	"LEESBURG"	"MD0068187"
"facility"	"BLUE RIDGE FIBERBOARD, INC."	"unknown"	"echo_NCG210111"	"inactive"	"POINT (-79.485599 36.578037)"	"250 CELOTEX WAY"	"DANVILLE"	"NCG210111"
"facility"	"VCI RADFORD FOUNDRY"	"unknown"	"echo_VA0000213"	"inactive"	"POINT (-80.59012 37.12022)"	"1605 W MAIN ST"	"RADFORD"	"VA0000213"
"facility"	"US ARMY - RADFORD ARMY AMMUNITION PLANT"	"industrial"	"echo_VA0000248"	"active"	"POINT (-80.541111 37.180556)"	"4050 PEPPERS FERRY RD"	"RADFORD"	"VA0000248"
"facility"	"NANOCHEMONICS HOLDINGS LLC"	"unknown"	"echo_VA0000281"	"active"	"POINT (-80.785698 37.048018)"	"4 MAGNOX DR"	"PULASKI"	"VA0000281"
"facility"	"CELANESE ACETATE LLC"	"unknown"	"echo_VA0000299"	"inactive"	"POINT (-80.76293 37.3451)"	"3520 VIRGINIA AVE"	"NARROWS"	"VA0000299"
"facility"	"APCO - GLEN LYN"	"unknown"	"echo_VA0000370"	"active"	"POINT (-80.8616 37.37039)"	"100 APCO RD"	"GLEN LYN"	"VA0000370"
"facility"	"LHOIST NORTH AMERICA - KIMBALLTON PLANT"	"manufacturing"	"echo_VA0000523"	"active"	"POINT (-80.6625 37.3828)"	"2093 BIG STONY CREEK RD"	"RIPPLEMEAD"	"VA0000523"
"facility"	"AMERICAN ELECTRIC POWER - CLINCH RIVER PLANT"	"fossilpower"	"echo_VA0001015"	"active"	"POINT (-82.145269 36.990541)"	"3464 POWER PLANT RD"	"CLEVELAND"	"VA0001015"
"facility"	"GOODYEAR TIRE AND RUBBER CO - DANVILLE"	"unknown"	"echo_VA0001201"	"inactive"	"POINT (-79.373017 36.558914)"	"1901 GOODYEAR BLVD"	"DANVILLE"	"VA0001201"
"facility"	"CCP COMPOSITES US"	"unknown"	"echo_VA0001309"	"active"	"POINT (-79.411421 36.777769)"	"920 TIGHTSQUEEZE INDUSTRIAL RD"	"CHATHAM"	"VA0001309"
"facility"	"KOPPERS INC"	"unknown"	"echo_VA0001333"	"inactive"	"POINT (-80.13361 37.27286)"	"4020 KOPPERS RD"	"SALEM"	"VA0001333"
"facility"	"KINDER MORGAN SOUTHEAST TERMINALS LLC - ROANOKE"	"industrial"	"echo_VA0001431"	"active"	"POINT (-79.9897 37.21328)"	"5280 TERMINAL RD SW"	"ROANOKE"	"VA0001431"
"facility"	"GUNNOE SAUSAGE COMPANY"	"unknown"	"echo_VA0001449"	"active"	"POINT (-79.40356 37.40734)"	"3989 CIFAX RD"	"GOODE"	"VA0001449"
"facility"	"WVWA - CARVINS COVE WATER FP"	"unknown"	"echo_VA0001473"	"inactive"	"POINT (-79.957778 37.361944)"	"8192 ANGEL LN"	"ROANOKE"	"VA0001473"
"facility"	"MOTIVA ENTERPRISES LLC - MONTVALE"	"unknown"	"echo_VA0001490"	"active"	"POINT (-79.726847 37.383623)"	"1371 OIL TERMINAL RD"	"MONTVALE"	"VA0001490"
"facility"	"HANESBRANDS INCORPORATED"	"unknown"	"echo_VA0001554"	"active"	"POINT (-80.263324 36.775033)"	"138 ELAMSVILLE RD"	"STUART"	"VA0001554"
"facility"	"RES DBA STEEL DYNAMICS ROANOKE BAR DIVISION"	"unknown"	"echo_VA0001589"	"active"	"POINT (-79.99861 37.27251)"	"102 WESTSIDE BLVD NW"	"ROANOKE"	"VA0001589"
