"hydrocode"	"varkey"	"propname"	"propvalue"	"proptext"	"propcode"	"startdate"	"enddate"
"echo_VA0086355"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Crab Orchard Creek"	""	""
"echo_VAL026531"	"wb_gnis_name"	"wb_gnis_name"	""	""	""	""	""
"echo_VA0027162"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Messongo Creek"	""	""
"echo_VA0027171"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Warehouse Prong"	""	""
"echo_VA0091529"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Assawoman Creek"	""	""
"echo_VA0002194"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Middle River"	""	""
"echo_VAU001601"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Tinker Creek"	""	""
"echo_VAU001696"	"wb_gnis_name"	"wb_gnis_name"	""	""	""	""	""
"echo_VA0090441"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Sand Branch"	""	""
"echo_VA0006254"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Swift Creek"	""	""
"echo_VAN040082"	"wb_gnis_name"	"wb_gnis_name"	""	""	"James River"	""	""
"echo_VA0005291"	"wb_gnis_name"	"wb_gnis_name"	""	""	"James River"	""	""
"echo_VA0005312"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Shand Creek"	""	""
"echo_VA0092304"	"wb_gnis_name"	"wb_gnis_name"	""	""	"East Fork Little Reed Island Creek"	""	""
"echo_VAU001719"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Blackwater Swamp"	""	""
"echo_VAL022292"	"wb_gnis_name"	"wb_gnis_name"	""	""	""	""	""
"echo_VAL064637"	"wb_gnis_name"	"wb_gnis_name"	""	""	""	""	""
"echo_VAU000053"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Little Rocky Run"	""	""
"echo_VAU001841"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Rivanna River"	""	""
"echo_VA0052655"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Stock Creek"	""	""
"echo_VA0026816"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Roses Creek"	""	""
"echo_VA0089133"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Little River"	""	""
"echo_VAL025160"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Cameron Run"	""	""
"echo_VAL087068"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Potomac River"	""	""
"echo_VA0087068"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Potomac River"	""	""
"echo_VAN010059"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Cameron Run"	""	""
"echo_VA0025160"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Cameron Run"	""	""
"echo_VAL090671"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Jackson River"	""	""
"echo_VA0090671"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Jackson River"	""	""
"echo_VAU000005"	"wb_gnis_name"	"wb_gnis_name"	""	""	""	""	""
"echo_VAN040069"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Jackson River"	""	""
"echo_VA0027979"	"wb_gnis_name"	"wb_gnis_name"	""	""	""	""	""
"echo_VAG110188"	"wb_gnis_name"	"wb_gnis_name"	""	""	""	""	""
"echo_VAG110065"	"wb_gnis_name"	"wb_gnis_name"	""	""	""	""	""
"echo_VAG110064"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Meadow Creek"	""	""
"echo_VAG114034"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Caney Branch"	""	""
"echo_VA0001961"	"wb_gnis_name"	"wb_gnis_name"	""	""	"South Fork Shenandoah River"	""	""
"echo_VAN010008"	"wb_gnis_name"	"wb_gnis_name"	""	""	"South Fork Shenandoah River"	""	""
"echo_VA0020451"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Roanoke River"	""	""
"echo_VAL020451"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Roanoke River"	""	""
"echo_VAN040105"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Smacks Creek"	""	""
"echo_VAL091707"	"wb_gnis_name"	"wb_gnis_name"	""	""	""	""	""
"echo_VA0086681"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Nibbs Creek"	""	""
"echo_VA0091707"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Smacks Creek"	""	""
"echo_VAR140069"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Courthouse Branch"	""	""
"echo_VA0091979"	"wb_gnis_name"	"wb_gnis_name"	""	""	""	""	""
"echo_VAU001613"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Fishing Creek"	""	""
"echo_VA0001015"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Dumps Creek"	""	""
"echo_VA0087106"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Roanoke River"	""	""
"echo_VA0087092"	"wb_gnis_name"	"wb_gnis_name"	""	""	""	""	""
"echo_VA0088765"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Roanoke River"	""	""
"echo_VAU001600"	"wb_gnis_name"	"wb_gnis_name"	""	""	""	""	""
"echo_VAR130015"	"wb_gnis_name"	"wb_gnis_name"	""	""	""	""	""
"echo_VA0063657"	"wb_gnis_name"	"wb_gnis_name"	""	""	""	""	""
"echo_VA0082546"	"wb_gnis_name"	"wb_gnis_name"	""	""	""	""	""
"echo_VA0088684"	"wb_gnis_name"	"wb_gnis_name"	""	""	"Buffalo River"	""	""
"echo_VAU001658"	"wb_gnis_name"	"wb_gnis_name"	""	""	""	""	""
"echo_VA0089303"	"wb_gnis_name"	"wb_gnis_name"	""	""	""	""	""
"echo_VAU001687"	"wb_gnis_name"	"wb_gnis_name"	""	""	""	""	""
"echo_VAU001671"	"wb_gnis_name"	"wb_gnis_name"	""	""	""	""	""
