"OutfallID"|"Outfall_Type"|"Hydrocode"|"Facility_Name"|"Outfall_Longitude"|"Outfall_Latitude"|"City"|"County"|"Use_Type"|"Permit_Status"
"DC0022004001"|"EXO"|"DC0022004"|"MIRANT POTOMAC RIVER L.L.C."|-77.04167|38.81953|"ALEXANDRIA"|"District of Columbia"|"Energy"|"Terminated"
"DC0022004101"|"EXO"|"DC0022004"|"MIRANT POTOMAC RIVER L.L.C."|-77.04167|38.81953|"ALEXANDRIA"|"District of Columbia"|"Energy"|"Terminated"
"DC0022004102"|"EXO"|"DC0022004"|"MIRANT POTOMAC RIVER L.L.C."|-77.04167|38.81953|"ALEXANDRIA"|"District of Columbia"|"Energy"|"Terminated"
"VA0000248006"|"EXO"|"VA0000248"|"US ARMY - RADFORD ARMY AMMUNITION PLANT"|-80.540277778038|37.1936111109879|"RADFORD"|"Montgomery"|"Industrial"|"Effective"
"VA0000248402"|"EXO"|"VA0000248"|"US ARMY - RADFORD ARMY AMMUNITION PLANT"|-80.5569444442865|37.1850000003527|"RADFORD"|"Montgomery"|"Industrial"|"Effective"
"VA0000281001"|"EXO"|"VA0000281"|"NANOCHEMONICS HOLDINGS LLC"|-80.785698|37.048018|"PULASKI"|"Pulaski"|"Industrial"|"Terminated"
"VA0000370001"|"EXO"|"VA0000370"|"APCO - GLEN LYN"|-80.8622222223093|37.3713888888417|"GLEN LYN"|"Giles"|"Energy"|"Admin Continued"
"VA0000370002"|"EXO"|"VA0000370"|"APCO - GLEN LYN"|-80.8633333332129|37.3716666667492|"GLEN LYN"|"Giles"|"Energy"|"Admin Continued"
"VA0000370003"|"EXO"|"VA0000370"|"APCO - GLEN LYN"|-80.8638888891138|37.3719444443421|"GLEN LYN"|"Giles"|"Energy"|"Admin Continued"
"VA0000370004"|"EXO"|"VA0000370"|"APCO - GLEN LYN"|-80.8672222218245|37.3736111111432|"GLEN LYN"|"Giles"|"Energy"|"Admin Continued"
"VA0000370005"|"EXO"|"VA0000370"|"APCO - GLEN LYN"|-80.8672222218245|37.3727777780881|"GLEN LYN"|"Giles"|"Energy"|"Admin Continued"
"VA0000370006"|"EXO"|"VA0000370"|"APCO - GLEN LYN"|-80.8694444445299|37.3741666666053|"GLEN LYN"|"Giles"|"Energy"|"Admin Continued"
"VA0000370007"|"EXO"|"VA0000370"|"APCO - GLEN LYN"|-80.8797222224092|37.3833333336769|"GLEN LYN"|"Giles"|"Energy"|"Admin Continued"
"VA0000523001"|"EXO"|"VA0000523"|"LHOIST NORTH AMERICA - KIMBALLTON PLANT"|-80.6652777775964|37.3811111110412|"RIPPLEMEAD"|"Giles"|"Industrial"|"Effective"
"VA0001015003"|"EXO"|"VA0001015"|"AMERICAN ELECTRIC POWER - CLINCH RIVER PLANT"|-82.1980555551814|36.9349999998039|"CLEVELAND"|"Russell"|"Energy"|"Effective"
"VA0001015007"|"EXO"|"VA0001015"|"AMERICAN ELECTRIC POWER - CLINCH RIVER PLANT"|-82.1988888890328|36.9238888890899|"CLEVELAND"|"Russell"|"Energy"|"Effective"
"VA0001015008"|"EXO"|"VA0001015"|"AMERICAN ELECTRIC POWER - CLINCH RIVER PLANT"|-82.2016666667408|36.9316666669633|"CLEVELAND"|"Russell"|"Energy"|"Effective"
"VA0001015015"|"EXO"|"VA0001015"|"AMERICAN ELECTRIC POWER - CLINCH RIVER PLANT"|-82.1911111109112|36.9394444446626|"CLEVELAND"|"Russell"|"Energy"|"Effective"
"VA0001015D03"|"EXO"|"VA0001015"|"AMERICAN ELECTRIC POWER - CLINCH RIVER PLANT"|-82.1980369995808|36.9351220003339|"CLEVELAND"|"Russell"|"Energy"|"Effective"
"VA0001309001"|"EXO"|"VA0001309"|"CCP COMPOSITES US"|-79.40889|36.77779|"CHATHAM"|"Pittsylvania"|"Industrial"|"Terminated"
"VA0001309101"|"EXO"|"VA0001309"|"CCP COMPOSITES US"|-79.40889|36.77779|"CHATHAM"|"Pittsylvania"|"Industrial"|"Terminated"
"VA0001431001"|"EXO"|"VA0001431"|"KINDER MORGAN SOUTHEAST TERMINALS LLC - ROANOKE"|-79.9916666663198|37.2127777778476|"ROANOKE"|"Roanoke"|"Commercial"|"Effective"
"VA0001449001"|"EXO"|"VA0001449"|"GUNNOE SAUSAGE COMPANY"|-79.4027600001751|37.4083899998528|"GOODE"|"Chesterfield"|"Industrial"|"Effective"
"VA0001490001"|"EXO"|"VA0001490"|"MOTIVA ENTERPRISES LLC - MONTVALE"|-79.732150000423|37.3800100003457|"MONTVALE"|"Bedford"|"Commercial"|"Effective"
"VA0001554001"|"EXO"|"VA0001554"|"HANESBRANDS INCORPORATED"|-80.259750000041|36.7733888889966|"STUART"|"Patrick"|"Industrial"|"Admin Continued"
"VA0001589005"|"EXO"|"VA0001589"|"RES DBA STEEL DYNAMICS ROANOKE BAR DIVISION"|-79.9968710002229|37.2741440001508|"ROANOKE"|""|"Industrial"|"Effective"
"VA0001597002"|"EXO"|"VA0001597"|"NORFOLK SOUTHERN RAILWAY CO - SHAFFERS CROSSING"|-79.9755555559723|37.2788888889992|"ROANOKE"|"Roanoke"|"Commercial"|"Effective"
"VA0001678001"|"EXO"|"VA0001678"|"APPAREL FABRICS PROPERTIES INC - HURT PLANT"|-79.30821|37.09389|"HURT"|"Pittsylvania"|"Industrial"|"Terminated"
"VA0001767001"|"EXO"|"VA0001767"|"PACTIV LLC-GROTTOES PLASTICS PLANT"|-78.8307500004325|38.258666666594|"GROTTOES"|"Rockingham"|"Industrial"|"Effective"
"VA0001767101"|"INO"|"VA0001767"|"PACTIV LLC-GROTTOES PLASTICS PLANT"|-78.8313888885508|38.2588888885616|"GROTTOES"|"Rockingham"|"Industrial"|"Effective"
"VA0001872001"|"EXO"|"VA0001872"|"JOINT BASIN CORPORATION - FAIRFAX TERMINAL COMPLEX"|-77.2777777781553|38.8505555555386|"FAIRFAX"|"Fairfax"|"Commercial"|"Effective"
"VA0001872101"|"EXO"|"VA0001872"|"JOINT BASIN CORPORATION - FAIRFAX TERMINAL COMPLEX"|-77.1933333333145|38.8530555557773|"FAIRFAX"|"Fairfax"|"Commercial"|"Effective"
"VA0001872102"|"EXO"|"VA0001872"|"JOINT BASIN CORPORATION - FAIRFAX TERMINAL COMPLEX"|-77.2777777781553|38.8505555555386|"FAIRFAX"|"Fairfax"|"Commercial"|"Effective"
"VA0001945001"|"EXO"|"VA0001945"|"KINDER MORGAN SOUTHEAST TERMINALS LLC - NEWINGTON"|-77.1933330000395|38.7344439998976|"NEWINGTON"|"Fairfax"|"Commercial"|"Effective"
