MatchID,VPDES Hydrocode,VPDES HydroID,VPDES AdminID,VPDES Name,VWUDS Hydrocode,VWUDS HydroID,VWUDS Name,VWUDS Source,Sector,VPDES % total,VWUDS % total,Average Discharge MGD,Average Withdrawal MGD,Ave Consumption,,,
1,echo_VA0004090,67224,439647,DOMINION ENERGY- SURRY AND GRAVEL NECK STATIONS,gwp_1339_A,67224,VIRGINIA ELECTRIC & POWER COMPANY: SURRY POWER STATION,Well,Energy,37.067%,27.862%,1874.81,1974.75,5.06%,,,
2,echo_VA0052451,72023,439972,DOMINION - NORTH ANNA POWER STATION,vwuds_0231,72023,DOMINION GENERATION: NORTH ANNA NUCLEAR POWER PLANT,Well,Energy,35.663%,25.886%,1803.80,1834.70,1.68%,,,
3,echo_VA0004146,73183,439650,DOMINION ENERGY - CHESTERFIELD POWER STATION,vwuds_1340,73183,DOMINION GENERATION: CHESTERFIELD POWER STATION,Surface Water Intake,Energy,3.614%,11.160%,182.81,791.00,76.89%,,,
4,echo_VA0004103,441108,439648,DOMINION - YORKTOWN POWER STATION,vwuds_0002 ,72566,DOMINION GENERATION: YORKTOWN FOSSIL POWER PLANT,Surface Water Intake,Energy,3.750%,6.851%,189.68,485.54,60.93%,,,
5,echo_VA0002071,73170,439611,DOMINION - POSSUM POINT POWER STATION,vwuds_0003,73170,DOMINION GENERATION: POSSUM POINT POWER STATION,Surface Water Intake,Energy,1.660%,2.221%,83.96,157.43,46.67%,,,
6,echo_VA0005291,441126,439666,ADVANSIX RESINS & CHEMICALS LLC,vwuds_1324 ,72489,ADVANSIX RESINS & CHEMICALS LLC: HOPEWELL PLANT,Surface Water Intake,Industrial,1.164%,1.495%,58.87,105.93,44.42%,,,
7,echo_VA0004138,73872,439649,DOMINION - BREMO POWER STATION,vwuds_0154,73872,DOMINION GENERATION: BREMO BLUFF POWER PLANT,Surface Water Intake,Energy,1.163%,0.999%,58.82,70.80,16.92%,,,
8,echo_VA0000370,72173,439592,Apco - Glen Lyn,vwuds_1036,72173,APPALACHIAN POWER COMPANY: GLEN LYN POWER PLANT,Surface Water Intake,Energy,0.002%,0.980%,0.12,69.49,99.82%,,,
9,echo_VA0063177,441556,440096,RICHMOND WWTP,vwuds_0333 ,73032,"RICHMOND, CITY OF: RICHMOND (CITY) WTP",Surface Water Intake,Municipal,1.022%,0.902%,51.71,63.90,19.09%,,,
10,echo_DC0022004,74082,439577,MIRANT POTOMAC RIVER L.L.C.,vwuds_0004,74082,MIRANT POTOMAC RIVER LLC: POTOMAC RIVER GENERATION STATION,Surface Water Intake,Energy,0.939%,0.572%,47.48,40.51,-17.20%,,,
11,echo_VA0004669,441118,439658,E I DU PONT DE NEMOURS AND COMPANY - SPRUANCE PLT,vwuds_1322 ,72744,DUPONT E I DE NEMOURS & CO: SPRUANCE PLANT,Surface Water Intake,Industrial,0.580%,0.409%,29.34,28.99,-1.21%,,,
12,echo_VA0066630,441596,440136,HOPEWELL WATER RENEWAL,vwuds_0350 ,72251,VIRGINIA AMERICAN WATER CO: HOPEWELL DISTRICT,Surface Water Intake,Municipal,0.514%,0.291%,26.02,20.64,-26.08%,,,
13,echo_VA0003115,441090,439630,WESTROCK CP LLC - WEST POINT,gwp_1179_A ,67052,"WESTROCK CP, LLC: WEST POINT MILL WATER SYSTEM",Well,Industrial,0.357%,0.234%,18.03,16.56,-8.92%,,,
14,echo_VA0050181,441416,439956,MANASSAS CITY WATER TREATMENT PLANT,vwuds_0285,72460,"MANASSAS, CITY OF: MANASSAS SERVICE AREA",Surface Water Intake,Municipal,0.249%,0.185%,12.58,13.10,3.94%,,,
15,echo_VA0004162,441111,439651,INTERNATIONAL PAPER - FRANKLIN MILL,gwp_1220_A,67380,INTERNATIONAL PAPER COMPANY: FRANKLIN VIRGINIA MILL,Well,Industrial,0.581%,0.154%,29.40,10.89,-169.91%,,,
16,echo_VA0001015,72546,439594,American Electric Power - Clinch River Plant,vwuds_0883,72546,APPALACHIAN POWER COMPANY: CLINCH RIVER PLANT,Surface Water Intake,Energy,0.029%,0.134%,1.49,9.51,84.38%,,,
17,echo_VA0084069,73042,440303,Dominion Energy - Mecklenburg Power Station,vwuds_2088,73042,VIRGINIA ELECTRIC & POWER  DPS: MECKLENBURG POWER STATION,Surface Water Intake,Energy,0.001%,0.013%,0.07,0.96,92.67%,,,
18,echo_VA0087645,73181,440360,Birchwood Power Facility,gwp_2005_A ,67174,"BIRCHWOOD POWER PARTNERS, L.P.: BIRCHWOOD POWER FACILITY",Surface Water Intake,Energy,0.000%,0.012%,0.00,0.83,100.00%,,,
19,echo_VA0083402,74466,440299,Dominion - Altavista Power Station,vwuds_2122,74466,DOMINION GENERATION: ALTAVISTA POWER STATION,Surface Water Intake,Energy,0.001%,0.003%,0.03,0.24,85.83%,,,
20,echo_VA0087033,73049,440338,Dominion - Gordonsville Power Station,vwuds_10030,73049,DOMINION GENERATION: GORDONSVILLE POWER STATION,Surface Water Intake,Energy,0.000%,0.000%,0.02,0.00,-44811.58%,,,
21,echo_VA0003646,441099,439639,WESTROCK VIRGINIA CORPORATION - COVINGTON,vwuds_1016,74117,WESTROCK VIRGINIA CORPORATION: COVINGTON PLANT WESTROCK,Surface Water Intake,Industrial,0.031%,0.221%,1.73,15.67,88.97%,,,
22,echo_VA0004642,441117,439657,WESTROCK CP LLC - HOPEWELL,vwuds_1338,72326,WESTROCK CP LLC: HOPEWELL PLANT,Surface Water Intake,Industrial,NA,0.551%,NA,39.04,NA,,,
23,echo_VA0005312,441127,439667,ADVANSIX RESINS AND CHEMICALS LLC - CHESTERFIELD,vwuds_1336,74320,ADVANSIX RESINS & CHEMICALS LLC: CHESTERFIELD PLANT,Surface Water Intake,Industrial,0.031%,0.221%,1.73,15.67,88.97%,,,
24,echo_VA0003026,441088,439628,GP BIG ISLAND LLC,vwuds_1023,73182,"GP BIG ISLAND, LLC: GEORGIA-PACIFIC BIG ISLAND WTP",Surface Water Intake,Industrial,0.082%,0.201%,4.53,14.27,68.28%,,,
25,echo_VA0002178,441074,439614,MERCK SHARP & DOHME CORP - ELKTON PLANT,vwuds_0244,73412,MERCK & CO: ELKTON PLANT,Surface Water Intake,Industrial,0.000%,0.192%,0.03,13.63,99.81%,,,
26,echo_VA0003018,441087,439627,PLAINS MARKETING LP YORKTOWN,vwuds_0024,72031,PLAINS MARKETING L.P.: YORKTOWN TERMINAL,Well,Industrial,0.005%,0.100%,0.29,7.09,95.89%,,,
27,echo_VA0004880,441123,439663,VEOLIA JAMES RIVER PLANT,vwuds_1321,72506,"VEOLIA NORTH AMERICA REGENERATION SERVICES, LLC: VEOLIA JAMES RIVER PLANT",Surface Water Intake,Industrial,0.121%,0.093%,6.68,6.62,-0.89%,,,
28,echo_VA0004804,441122,439662,HUNTINGTON INGALLS INCORPORATED - NN SHIPBLDG DIV,vwuds_2070,72822,NEWPORT NEWS SHIPBUILDING: NEWPORT NEWS SHIPBUILDING,Surface Water Intake,Industrial,0.035%,0.077%,1.92,5.47,64.90%,,,
29,echo_VA0091278,442018,440558,VIRGINIA TROUT - TERRY PLACE,vwuds_1536,73898,VIRGINIA TROUT COMPANY INC: TERRY PLACE PLANT,Surface Water Intake,Industrial,NA,0.068%,NA,4.84,NA,,,
