"MP_hydroid","Hydrocode","Source Type","MP Name","Facility_hydroid","Facility","Use Type","Year","Water Use MGY","Water Use (MGD)","Latitude","Longitude","FIPS Code","Locality","OWS Planner"
"15","gwp_375318075334404","Well","#4","67016","Tyson Farms, Inc.","industrial","2021","140.3363","0.38","37.889305555556","-75.562750000000","51001","","rgreen"
"16","gwp_375311075333903","Well","#3","67016","Tyson Farms, Inc.","industrial","2021","85.9881","0.24","37.887138888889","-75.560333333333","51001","","rgreen"
"17","gwp_375304075333202","Well","#2","67016","Tyson Farms, Inc.","industrial","2021","90.7081","0.25","37.884527777778","-75.558972222222","51001","","rgreen"
"23","gwp_373740075400001","Well","P-#4A","67227","Perdue Farms Incorporated","industrial","2021","26.6802","0.07","37.734083333333","-75.653444444444","51001","","rgreen"
"27","gwp_373745075400001","Well","P-#2","67227","Perdue Farms Incorporated","industrial","2021","170.4653","0.47","37.738638888889","-75.652666666667","51001","","rgreen"
"28","gwp_375633075272104","Well","#4","67083","Chincoteague Town of","municipal","2021","44.69","0.12","37.942388888889","-75.455722222222","51001","","rgreen"
"29","gwp_373755075400001","Well","P-#3","67227","Perdue Farms Incorporated","industrial","2021","224.322","0.61","37.741694444444","-75.655805555556","51001","","rgreen"
"30","gwp_374309075385801","Well","P-#1","67227","Perdue Farms Incorporated","industrial","2021","60.8513","0.17","37.735722222222","-75.649527777778","51001","","rgreen"
"31","gwp_375836075250801","Well","#2","67257","Captain's Cove Utility Company, Inc.","commercial","2021","7.7085","0.02","37.994694444444","-75.417388888889","51001","","rgreen"
"32","gwp_375626075272305","Well","#5","67083","Chincoteague Town of","municipal","2021","0.002","0.00","37.940888888889","-75.456333333333","51001","","rgreen"
"36","gwp_375911075252805","Well","#3","67257","Captain's Cove Utility Company, Inc.","commercial","2021","3.662409","0.01","38.003222222222","-75.425833333333","51001","","rgreen"
"37","gwp_374528075372101","Well","Well #1","66899","Riverside Shore Rehabilitation Center","commercial","2021","0","0.00","37.757777777778","-75.622500000000","51001","","rgreen"
"38","gwp_375323075260601","Well","#1 (WQ)","67257","Captain's Cove Utility Company, Inc.","commercial","2021","0","0.00","37.989444444444","-75.424527777778","51001","","rgreen"
"39","gwp_374420075393801","Well","#4","67227","Perdue Farms Incorporated","industrial","2021","0","0.00","37.738944444444","-75.660472222222","51001","","rgreen"
"40","gwp_375330075335505","Well","#5","67016","Tyson Farms, Inc.","industrial","2021","143.6501","0.39","37.891592622637","-75.559116761947","51001","","rgreen"
"41","gwp_375148075303201","Well","U-51","67207","US NASA -Goddard Space Flight Center - Island System","commercial","2021","0","0.00","37.863333333333","-75.508888888889","51001","","rgreen"
