"hydrocode","name","bundle","ftype","wkt_geom"
"DC0022004","MIRANT POTOMAC RIVER L.L.C.","facility","wwtp","POINT (38.81953 -77.04167)"
"DCNOE3034","WFS-DCA","facility","wwtp","POINT (38.82436 -77.06965)"
"ILG870595","SUMMIT HELICOPTORS","facility","wwtp","POINT (37.36209 -79.899728)"
"ILR007054","UPS GROUND FREIGHT CO INC","facility","wwtp","POINT (37.52595 -77.44713)"
"MD0056464","FAIRVIEW BEACH WWTP","facility","wwtp","POINT (38.329326 -77.235664)"
"MD0064556","DUMFRIES TERMINAL","facility","wwtp","POINT (38.566025 -77.298908)"
"MD0066184","LEESBURG WATER POLL.CONT.FAC.","facility","wwtp","POINT (39.09505 -77.52865)"
"MD0066427","VIRGINIA ELECTRIC AND POWER CO.- POSSUM POINT POWER STA","facility","wwtp","POINT (38.5391 -77.2786)"
"MD0067598","ELYSIAN HEIGHTS WWTP","facility","wwtp","POINT (39.115151 -77.563617)"
"MD0068187","KENNETH B. ROLLINS MEMORIAL WA","facility","wwtp","POINT (39.11092 -77.50575)"
"MDL066184","WATER POLLUTION CONTROL FAC.","facility","wwtp","POINT (39.09505 -77.52865)"
"NCG210111","BLUE RIDGE FIBERBOARD, INC.","facility","wwtp","POINT (36.578037 -79.485599)"
"VA0000213","VCI RADFORD FOUNDRY","facility","wwtp","POINT (37.12022 -80.59012)"
"VA0000248","US ARMY - RADFORD ARMY AMMUNITION PLANT","facility","wwtp","POINT (37.180556 -80.541111)"
"VA0000281","NANOCHEMONICS HOLDINGS LLC","facility","wwtp","POINT (37.048018 -80.785698)"
"VA0000299","CELANESE ACETATE LLC","facility","wwtp","POINT (37.3451 -80.76293)"
"VA0000370","APCO - GLEN LYN","facility","wwtp","POINT (37.37039 -80.8616)"
"VA0000523","LHOIST NORTH AMERICA - KIMBALLTON PLANT","facility","wwtp","POINT (37.3828 -80.6625)"
"VA0001015","AMERICAN ELECTRIC POWER - CLINCH RIVER PLANT","facility","wwtp","POINT (36.990541 -82.145269)"
