"OutfallID"	"Year"	"VPDES.Facility.ID"	"VPDES.Name"	"Fac.Lat"	"Fac.Long"	"Outfall_Type"	"Outfall.Long"	"Outfall.Lat"	"Measured_Effluent"	"Discharges_MGD"	"Date"	"County"	"Permit_Type"	"Waterbody"	"Use.Type"	"Fuel_Type"	"Gen_Cap_MW"	"Mon_Reported"
"1"	"DC0022004001"	2010	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	260	260	2010-01-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"2"	"DC0022004001"	2010	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	259	259	2010-02-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"3"	"DC0022004001"	2010	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	50	50	2010-03-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"4"	"DC0022004001"	2010	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	220	220	2010-07-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"5"	"DC0022004001"	2010	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	240	240	2010-08-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"6"	"DC0022004001"	2010	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	237	237	2010-12-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"7"	"DC0022004001"	2010	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	354	354	2010-06-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"8"	"DC0022004001"	2010	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	35	35	2010-04-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"9"	"DC0022004001"	2010	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	104	104	2010-05-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
"10"	"DC0022004001"	2010	"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	38.81953	-77.04167	"EXO"	-77.04167	38.81953	12	12	2010-11-01	"District of Columbia"	"NPDES Individual Permit"	"Potomac River"	"Energy"	"Coal"	514	12
