bundle	name	ftype	hydrocode	fstatus	wkt_geom
facility	ABB INCORPORATED - BLAND	commercial	echo_VA0086355	inactive	POINT (-76.2894444448281 36.8386111112005)
facility	ABINGDON REGIONAL WWTP	wwtp	echo_VAL026531	inactive	POINT (-81.98219 36.68706)
facility	ACCOMACK COUNTY - KEGOTANK ELE	municipal	echo_VA0027162	inactive	POINT (-75.56723 37.84578)
facility	ACCOMACK COUNTY - PUNGOTEAGUE	municipal	echo_VA0027171	inactive	POINT (-75.791263 37.652518)
facility	ACCOMACK COUNTY LEACHATE TREATMENT FACILITY	municipal	echo_VA0091529	active	POINT (-75.532413 37.907178)
facility	ACCUTEC BLADES INC	unknown	echo_VA0002194	active	POINT (-78.990422 38.191062)
facility	AD WEDDLE SALVAGE	unknown	echo_VAU001601	inactive	POINT (-79.92024 37.28753)
facility	ADAM'S PARK SUBDIVISION	unknown	echo_VAU001696	inactive	POINT (-81.110882 37.107212)
facility	ADAPTIVE CONCRETE SOLUTIONS	industrial	echo_VA0090441	inactive	POINT (-77.4758 38.9194)
facility	ADDISON EVANS WATER PRODUCTION AND LABORATORY	unknown	echo_VA0006254	active	POINT (-77.64376 37.41467)
facility	ADVANSIX RESINS & CHEMICALS LLC	commercial	echo_VA0005291	active	POINT (-77.275759 37.299074)
facility	ADVANSIX RESINS & CHEMICALS LLC	commercial	echo_VAN040082	inactive	POINT (-77.27724 37.29757)
facility	ADVANSIX RESINS AND CHEMICALS LLC - CHESTERFIELD	commercial	echo_VA0005312	active	POINT (-77.2884 37.33963)
facility	AGAPE MOTORCOACH RETREAT LLC	commercial	echo_VA0092304	inactive	POINT (-80.699167 36.665)
facility	"AGRI-VA, INC"	unknown	echo_VAU001719	inactive	POINT (-77.351046 37.19654)
facility	AGUSTA CO. SERVICE AUTH.	unknown	echo_VAL022292	inactive	POINT (-81.110882 37.107212)
facility	AGUSTA COUNT SERVICE AUTH	unknown	echo_VAL064637	inactive	POINT (-81.110882 37.107212)
facility	"AIRSTON GROUP III, INC"	unknown	echo_VAU000053	inactive	POINT (-77.42865 38.8401)
facility	ALBEMARLE COUNTY SERVICE AUTHO	municipal	echo_VAU001841	inactive	POINT (-78.453305 38.031155)
facility	ALBEMARLE US INC	unknown	echo_VA0052655	active	POINT (-82.7575 36.735277)
facility	ALBERTA WASTEWATER TREATMENT PLANT	wwtp	echo_VA0026816	inactive	POINT (-77.901944 36.842222)
facility	ALDIE WASTEWATER TREATMENT PLANT	wwtp	echo_VA0089133	active	POINT (-77.63761 38.97497)
facility	ALEXANDRIA CITY SANITARY AUTHO	unknown	echo_VAL025160	inactive	POINT (-77.0606 38.7989)
facility	ALEXANDRIA COMBINED SEW SYSTM	unknown	echo_VAL087068	inactive	POINT (-77.04303 38.80456)
facility	ALEXANDRIA COMBINED SEWER SYSTEM	public water supply	echo_VA0087068	inactive	POINT (-77.04303 38.80456)
facility	ALEXANDRIA RENEW ENTERPRISES WWTP	wwtp	echo_VAN010059	inactive	POINT (-77.0606 38.7989)
facility	ALEXANDRIA RENEW ENTERPRISES WWTP	wwtp	echo_VA0025160	active	POINT (-77.0606 38.7989)
facility	ALLEGHANY CO - LOWER JACKSON RIVER REGIONAL WWTP	wwtp	echo_VAL090671	inactive	POINT (-79.886469 37.793175)
facility	ALLEGHANY CO - LOWER JACKSON RIVER REGIONAL WWTP	wwtp	echo_VA0090671	active	POINT (-79.78361 37.79264)
facility	ALLEGHANY COUNTY	municipal	echo_VAU000005	inactive	POINT (-81.110882 37.107212)
facility	ALLEGHANY COUNTY - AGGREGATE NUTRIENT DISCHARGE	municipal	echo_VAN040069	inactive	POINT (-79.886469 37.793175)
facility	ALLEGHANY COUNTY - LOW MOOR WWTP	wwtp	echo_VA0027979	active	POINT (-81.110882 37.107212)
facility	ALLIED CONCRETE	industrial	echo_VAG110188	inactive	POINT (-81.110882 37.107212)
facility	ALLIED CONCRETE CO.	industrial	echo_VAG110065	inactive	POINT (-78.366542 38.252013)
facility	ALLIED CONCRETE COMPANY - CHARLOTTESVILLE	commercial	echo_VAG110064	inactive	POINT (-78.48071 38.03966)
facility	ALLIED CONCRETE PROD.	industrial	echo_VAG114034	inactive	POINT (-77.50651 36.68538)
facility	ALMA PLANT	manufacturing	echo_VAN010008	inactive	POINT (-78.566111 38.59)
facility	ALMA PLANT	manufacturing	echo_VA0001961	active	POINT (-78.59135 38.587847)
facility	ALTAVISTA TOWN - WASTEWATER TREATMENT PLANT	wwtp	echo_VA0020451	active	POINT (-79.285 37.10922)
facility	ALTIVISTA  STP	wwtp	echo_VAL020451	inactive	POINT (-79.242222 37.150833)
facility	AMELIA CH SAN DIST - AGGREGATE NUTRIENT DISCHARGE	unknown	echo_VAN040105	inactive	POINT (-77.933833 37.337722)
facility	AMELIA COURTHOUSE SANITARY DISTRICT STP	wwtp	echo_VAL091707	inactive	POINT (-81.110882 37.107212)
facility	AMELIA COURTHOUSE SANITARY DISTRICT STP - NIBBS CR	wwtp	echo_VA0086681	active	POINT (-77.996917 37.357225)
facility	AMELIA COURTHOUSE SANITARY DISTRICT STP-SMACKS CR	wwtp	echo_VA0091707	active	POINT (-77.933833 37.337722)
facility	"AMELIA LUMBER CO., INC"	industrial	echo_VAR140069	inactive	POINT (-77.991602 37.33557)
facility	AMELIA LUMBER COMPANY INCORPORATED	commercial	echo_VA0091979	inactive	POINT (-77.99244 37.3356)
facility	AMERICAN ELECTRIC POWER	fossilpower	echo_VAU001613	inactive	POINT (-79.16726 37.369)
facility	AMERICAN ELECTRIC POWER - CLINCH RIVER PLANT	fossilpower	echo_VA0001015	active	POINT (-82.145269 36.990541)
facility	AMERICAN ELECTRIC POWER - LEESVILLE HYDRO PLANT	fossilpower	echo_VA0087106	active	POINT (-79.4025 37.092222)
facility	AMERICAN ELECTRIC POWER - NIAGARA HYDRO PLANT	fossilpower	echo_VA0087092	active	POINT (-79.87234 37.25519)
facility	AMERICAN ELECTRIC POWER-SMITH MOUNTAIN HYDRO PLANT	fossilpower	echo_VA0088765	inactive	POINT (-79.52985 37.03629)
facility	AMERICAN STONE	unknown	echo_VAU001600	inactive	POINT (-81.110882 37.107212)
facility	AMERICAN WOODMARK	industrial	echo_VAR130015	inactive	POINT (-78.11126 38.25164)
facility	AMHERST CO SERVICE AUTH-IVANHOE FOREST SUB	unknown	echo_VA0063657	active	POINT (-79.13256 37.47933)
facility	AMHERST CO SERVICE AUTHORITY WESTBRIAR SUBDIVISION	municipal	echo_VA0082546	active	POINT (-79.13189 37.48593)
