"bundle","name","ftype","hydrocode","fstatus","wkt_geom"
"facility","ABB INCORPORATED - BLAND","commercial","echo_VA0086355","inactive","POINT (36.8386111112005 -76.2894444448281)"
"facility","ABINGDON REGIONAL WWTP","wwtp","echo_VAL026531","inactive","POINT (36.68706 -81.98219)"
"facility","ACCOMACK COUNTY - KEGOTANK ELE","municipal","echo_VA0027162","inactive","POINT (37.84578 -75.56723)"
"facility","ACCOMACK COUNTY - PUNGOTEAGUE","municipal","echo_VA0027171","inactive","POINT (37.652518 -75.791263)"
"facility","ACCOMACK COUNTY LEACHATE TREATMENT FACILITY","municipal","echo_VA0091529","active","POINT (37.907178 -75.532413)"
"facility","ACCUTEC BLADES INC","unknown","echo_VA0002194","active","POINT (38.191062 -78.990422)"
"facility","AD WEDDLE SALVAGE","unknown","echo_VAU001601","inactive","POINT (37.28753 -79.92024)"
"facility","ADAM'S PARK SUBDIVISION","unknown","echo_VAU001696","inactive","POINT (37.107212 -81.110882)"
"facility","ADAPTIVE CONCRETE SOLUTIONS","industrial","echo_VA0090441","inactive","POINT (38.9194 -77.4758)"
"facility","ADDISON EVANS WATER PRODUCTION AND LABORATORY","unknown","echo_VA0006254","active","POINT (37.41467 -77.64376)"
"facility","ADVANSIX RESINS & CHEMICALS LLC","commercial","echo_VA0005291","active","POINT (37.299074 -77.275759)"
"facility","ADVANSIX RESINS & CHEMICALS LLC","commercial","echo_VAN040082","inactive","POINT (37.29757 -77.27724)"
"facility","ADVANSIX RESINS AND CHEMICALS LLC - CHESTERFIELD","commercial","echo_VA0005312","active","POINT (37.33963 -77.2884)"
"facility","AGAPE MOTORCOACH RETREAT LLC","commercial","echo_VA0092304","inactive","POINT (36.665 -80.699167)"
"facility","AGRI-VA, INC","unknown","echo_VAU001719","inactive","POINT (37.19654 -77.351046)"
"facility","AGUSTA CO. SERVICE AUTH.","unknown","echo_VAL022292","inactive","POINT (37.107212 -81.110882)"
"facility","AGUSTA COUNT SERVICE AUTH","unknown","echo_VAL064637","inactive","POINT (37.107212 -81.110882)"
"facility","AIRSTON GROUP III, INC","unknown","echo_VAU000053","inactive","POINT (38.8401 -77.42865)"
"facility","ALBEMARLE COUNTY SERVICE AUTHO","municipal","echo_VAU001841","inactive","POINT (38.031155 -78.453305)"
"facility","ALBEMARLE US INC","unknown","echo_VA0052655","active","POINT (36.735277 -82.7575)"
"facility","ALBERTA WASTEWATER TREATMENT PLANT","wwtp","echo_VA0026816","inactive","POINT (36.842222 -77.901944)"
"facility","ALDIE WASTEWATER TREATMENT PLANT","wwtp","echo_VA0089133","active","POINT (38.97497 -77.63761)"
