"Facility.ID"	"FacilityName"	"Facility_Longitude"	"Facility_Latitude"	"OutfallID"	"Outfall_Longitude"	"Outfall_Latitude"	"DesignFlow_mgd"	"Statistic"	"Units"	"Measured_Effluent"	"Permitted_Limit"	"MP_Begin_Date"	"MP_End_Date"	"Violation_Code"	"Violation_Severity"	"NODI"
"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	-77.04167	38.81953	"DC0022004001"	NA	NA	NA	"mon_ave"	"MGD"	35	NA	"04/01/2010"	"04/30/2010"	"D80"	1	""
"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	-77.04167	38.81953	"DC0022004001"	NA	NA	NA	"mon_ave"	"MGD"	117	NA	"03/01/2012"	"03/31/2012"	"D80"	1	""
"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	-77.04167	38.81953	"DC0022004001"	NA	NA	NA	"mon_ave"	"MGD"	0	NA	"11/01/2013"	"11/30/2013"	"D80"	1	"No Discharge"
"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	-77.04167	38.81953	"DC0022004101"	NA	NA	NA	"mon_ave"	"MGD"	0.084	NA	"03/01/2012"	"03/31/2012"	"D80"	1	""
"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	-77.04167	38.81953	"DC0022004101"	NA	NA	NA	"mon_ave"	"MGD"	0.018	NA	"04/01/2010"	"04/30/2010"	"D80"	1	""
"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	-77.04167	38.81953	"DC0022004101"	NA	NA	NA	"mon_ave"	"MGD"	0	NA	"11/01/2013"	"11/30/2013"	"D80"	1	"No Discharge"
"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	-77.04167	38.81953	"DC0022004102"	NA	NA	NA	"mon_ave"	"MGD"	0	NA	"03/01/2012"	"03/31/2012"	"D80"	1	"No Discharge"
"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	-77.04167	38.81953	"DC0022004102"	NA	NA	NA	"mon_ave"	"MGD"	0	NA	"11/01/2013"	"11/30/2013"	"D80"	1	"No Discharge"
"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	-77.04167	38.81953	"DC0022004102"	NA	NA	NA	"mon_ave"	"MGD"	0	NA	"07/01/2014"	"07/31/2014"	"D80"	1	"No Discharge"
"DC0022004"	"MIRANT POTOMAC RIVER L.L.C."	-77.04167	38.81953	"DC0022004102"	NA	NA	NA	"mon_ave"	"MGD"	0	NA	"04/01/2010"	"04/30/2010"	"D80"	1	"No Discharge"
